sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
AB 65,AB 39,2,3,velar/palatal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 65(ju) ↔ AB 39(?),0.0,AB 51-AB 06-[AB 65|AB 39]
AB 39,AB 26,2,3,?,dental/coronal,?,u,1,1,morphological,prefix/suffix substitution: AB 39(?) ↔ AB 26(ru),0.0,AB 06-AB 65-[AB 39|AB 26]
AB 03,A 309,1,3,labial,?,a,?,1,1,unknown,unclassified: AB 03(pa) ↔ A 309(?),0.0,AB 06-[AB 03|A 309]-AB 29
AB 09,AB 66,1,3,dental/coronal,?,e,?,1,1,unknown,unclassified: AB 09(se) ↔ AB 66(?),0.0,AB 08-[AB 09|AB 66]-AB 57
AB 09,AB 24,1,3,dental/coronal,dental/coronal,e,e,1,1,phonetic,"same vowel /e/, different consonant: AB 09(se) ↔ AB 24(ne)",0.7,AB 08-[AB 09|AB 24]-AB 57
AB 57,AB 08,2,3,velar/palatal,vowel,a,a,1,1,morphological,prefix/suffix substitution: AB 57(ja) ↔ AB 08(a),0.0,AB 08-AB 09-[AB 57|AB 08]
AB 57,AB 38,1,3,velar/palatal,vowel,a,e,1,1,unknown,unclassified: AB 57(ja) ↔ AB 38(e),0.0,AB 09-[AB 57|AB 38]-AB 17
AB 34,AB 53,2,3,dental/coronal,dental/coronal,i,i,1,1,unknown,unclassified: AB 34(ti) ↔ AB 53(ri),0.0,AB 07-AB 56-[AB 34|AB 53]
AB 34,AB 49,1,3,dental/coronal,?,i,?,1,1,unknown,unclassified: AB 34(ti) ↔ AB 49(?),0.0,AB 56-[AB 34|AB 49]-AB 23
AB 23,AB 56,1,3,dental/coronal,?,u,?,1,1,unknown,unclassified: AB 23(mu) ↔ AB 56(?),0.0,AB 34-[AB 23|AB 56]-AB 33
AB 33,AB 93,1,3,labial,labial,a,i,1,1,phonetic,"same class (labial), different vowel: AB 33(pa) ↔ AB 93(pi)",0.5,AB 23-[AB 33|AB 93]-AB 54
AB 33,VASE 4,1,3,labial,?,a,?,1,1,unknown,unclassified: AB 33(pa) ↔ VASE 4(?),0.0,AB 23-[AB 33|VASE 4]-AB 54
AB 54,AB 34,1,3,labial,dental/coronal,a,i,1,1,unknown,unclassified: AB 54(wa) ↔ AB 34(ti),0.0,AB 33-[AB 54|AB 34]-AB 09
AB 54,AB 14,0,3,labial,dental/coronal,a,o,1,1,morphological,prefix/suffix substitution: AB 54(wa) ↔ AB 14(do),0.0,[AB 54|AB 14]-AB 09-AB 30
AB 48,AB 59,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 59(?),0.0,AB 09-AB 30-[AB 48|AB 59]
A 389,AB 52,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 389(?) ↔ AB 52(?),0.0,[A 389|AB 52]-A 566-AB 03
A 566,AB 49,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 566(?) ↔ AB 49(?),0.0,[A 566|AB 49]-AB 03-AB 52
A 566,AB 49,2,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 566(?) ↔ AB 49(?),0.0,AB 03-AB 52-[A 566|AB 49]
A 566,AB 66,1,3,?,?,?,?,1,1,unknown,unclassified: A 566(?) ↔ AB 66(?),0.0,AB 52-[A 566|AB 66]-AB 03
A 568,VASE 4,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: A 568(?) ↔ VASE 4(?),0.0,[A 568|VASE 4]-AB 36-VASE 4
AB 36,VASE 4,1,3,velar/palatal,?,o,?,1,1,unknown,unclassified: AB 36(jo) ↔ VASE 4(?),0.0,VASE 4-[AB 36|VASE 4]-VASE 4
AB 46,AB 53,2,3,?,dental/coronal,?,i,1,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 53(ri),0.0,AB 26-AB 06-[AB 46|AB 53]
AB 46,AB 04,1,3,?,dental/coronal,?,e,1,1,unknown,unclassified: AB 46(?) ↔ AB 04(te),0.0,AB 06-[AB 46|AB 04]-AB 08
AB 46,AB 51,0,3,?,dental/coronal,?,u,1,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 51(du),0.0,[AB 46|AB 51]-AB 08-AB 45
AB 46,AB 48,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 48(?),0.0,[AB 46|AB 48]-AB 08-AB 45
AB 46,VASE 3,0,3,?,?,?,?,1,1,morphological,prefix/suffix substitution: AB 46(?) ↔ VASE 3(?),0.0,[AB 46|VASE 3]-AB 08-AB 45
AB 64,AB 01,2,3,?,dental/coronal,?,a,1,1,morphological,prefix/suffix substitution: AB 64(?) ↔ AB 01(da),0.0,AB 45-AB 26-[AB 64|AB 01]
AB 45,AB 05,0,3,dental/coronal,dental/coronal,i,o,1,1,unknown,unclassified: AB 45(ri) ↔ AB 05(to),0.0,[AB 45|AB 05]-AB 26-AB 64
AB 45,AB 85,2,3,dental/coronal,?,i,?,1,1,morphological,prefix/suffix substitution: AB 45(ri) ↔ AB 85(?),0.0,AB 26-AB 64-[AB 45|AB 85]
AB 08,VASE 2,2,3,vowel,?,a,?,1,1,morphological,prefix/suffix substitution: AB 08(a) ↔ VASE 2(?),0.0,AB 29-AB 51-[AB 08|VASE 2]
AB 08,AB 51,2,3,vowel,dental/coronal,a,u,1,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 51(du),0.0,AB 29-AB 51-[AB 08|AB 51]
AB 08,AB 06,2,3,vowel,dental/coronal,a,a,1,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 06(na),0.0,AB 29-AB 51-[AB 08|AB 06]
AB 51,AB 48,0,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 51(du) ↔ AB 48(?),0.0,[AB 51|AB 48]-AB 08-AB 45
AB 51,VASE 3,0,3,dental/coronal,?,u,?,1,1,morphological,prefix/suffix substitution: AB 51(du) ↔ VASE 3(?),0.0,[AB 51|VASE 3]-AB 08-AB 45
