sign_a,sign_b,position,ngram_len,class_a,class_b,vowel_a,vowel_b,count_a,count_b,sub_type,inference,confidence,frame
AB 12,AB 52,2,3,dental/coronal,?,o,?,2,16,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 52(?),0.0,AB 30-AB 30-[AB 12|AB 52]
AB 76,AB 85,2,3,labial,?,i,?,3,14,morphological,prefix/suffix substitution: AB 76(pi) ↔ AB 85(?),0.0,AB 51-AB 26-[AB 76|AB 85]
AB 59,AB 30,0,3,?,dental/coronal,?,i,1,16,morphological,prefix/suffix substitution: AB 59(?) ↔ AB 30(ni),0.0,[AB 59|AB 30]-AB 30-AB 52
AB 89,AB 30,0,3,labial,dental/coronal,i,i,1,16,morphological,prefix/suffix substitution: AB 89(mi) ↔ AB 30(ni),0.0,[AB 89|AB 30]-AB 30-AB 52
VASE 3,AB 30,0,3,?,dental/coronal,?,i,1,16,morphological,prefix/suffix substitution: VASE 3(?) ↔ AB 30(ni),0.0,[VASE 3|AB 30]-AB 30-AB 52
AB 52,AB 30,1,3,?,dental/coronal,?,i,1,16,unknown,unclassified: AB 52(?) ↔ AB 30(ni),0.0,AB 30-[AB 52|AB 30]-AB 52
AB 49,AB 08,0,3,?,vowel,?,a,12,5,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 08(a),0.0,[AB 49|AB 08]-AB 30-AB 30
AB 52,AB 22f,2,3,?,?,?,?,16,1,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 22f(?),0.0,AB 30-AB 30-[AB 52|AB 22f]
AB 30,AB 49,0,3,dental/coronal,?,i,?,16,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 49(?),0.0,[AB 30|AB 49]-AB 30-AB 52
AB 30,AB 13,0,3,dental/coronal,labial,i,e,16,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 13(me),0.0,[AB 30|AB 13]-AB 30-AB 52
AB 26,AB 06,2,3,dental/coronal,dental/coronal,u,a,13,3,unknown,unclassified: AB 26(ru) ↔ AB 06(na),0.0,AB 08-AB 51-[AB 26|AB 06]
AB 51,AB 06,0,3,dental/coronal,dental/coronal,u,a,14,2,unknown,unclassified: AB 51(du) ↔ AB 06(na),0.0,[AB 51|AB 06]-AB 26-AB 85
AB 75,AB 85,2,3,?,?,?,?,1,14,morphological,prefix/suffix substitution: AB 75(?) ↔ AB 85(?),0.0,AB 51-AB 26-[AB 75|AB 85]
AB 08,AB 10,0,3,vowel,vowel,a,u,13,2,unknown,unclassified: AB 08(a) ↔ AB 10(u),0.0,[AB 08|AB 10]-AB 51-AB 26
AB 51,AB 45,1,3,dental/coronal,dental/coronal,u,i,13,2,phonetic,"same class (dental/coronal), different vowel: AB 51(du) ↔ AB 45(ri)",0.5,AB 08-[AB 51|AB 45]-AB 26
AB 85,AB 64,2,3,?,?,?,?,14,1,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 64(?),0.0,AB 51-AB 26-[AB 85|AB 64]
AB 85,AB 09,2,3,?,dental/coronal,?,e,14,1,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 09(se),0.0,AB 51-AB 26-[AB 85|AB 09]
AB 26,A 301,1,3,dental/coronal,?,u,?,14,1,unknown,unclassified: AB 26(ru) ↔ A 301(?),0.0,AB 51-[AB 26|A 301]-AB 85
AB 85,AB 36,2,3,?,velar/palatal,?,o,14,1,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 36(jo),0.0,AB 51-AB 26-[AB 85|AB 36]
AB 85,AB 47,2,3,?,dental/coronal,?,u,14,1,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 47(nu),0.0,AB 51-AB 26-[AB 85|AB 47]
AB 49,AB 08,0,4,?,vowel,?,a,11,4,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 08(a),0.0,[AB 49|AB 08]-AB 30-AB 30-AB 52
VASE 7,AB 08,0,3,?,vowel,?,a,1,13,morphological,prefix/suffix substitution: VASE 7(?) ↔ AB 08(a),0.0,[VASE 7|AB 08]-AB 51-AB 26
AB 43,AB 08,0,3,labial,vowel,a,a,1,13,morphological,prefix/suffix substitution: AB 43(pa) ↔ AB 08(a),0.0,[AB 43|AB 08]-AB 51-AB 26
AB 30,AB 52,1,3,dental/coronal,?,i,?,2,12,unknown,unclassified: AB 30(ni) ↔ AB 52(?),0.0,AB 30-[AB 30|AB 52]-AB 12
AB 04,AB 12,2,3,dental/coronal,dental/coronal,e,o,2,12,unknown,unclassified: AB 04(te) ↔ AB 12(so),0.0,AB 30-AB 52-[AB 04|AB 12]
AB 09,AB 51,1,3,dental/coronal,dental/coronal,e,u,1,13,phonetic,"same class (dental/coronal), different vowel: AB 09(se) ↔ AB 51(du)",0.5,AB 08-[AB 09|AB 51]-AB 26
AB 56,AB 08,0,3,?,vowel,?,a,1,13,morphological,prefix/suffix substitution: AB 56(?) ↔ AB 08(a),0.0,[AB 56|AB 08]-AB 51-AB 26
AB 08,AB 06,0,3,vowel,dental/coronal,a,a,13,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 06(na),0.0,[AB 08|AB 06]-AB 51-AB 26
AB 26,A 301,2,3,dental/coronal,?,u,?,13,1,morphological,prefix/suffix substitution: AB 26(ru) ↔ A 301(?),0.0,AB 08-AB 51-[AB 26|A 301]
AB 26,NUM 100,2,3,dental/coronal,?,u,?,13,1,morphological,prefix/suffix substitution: AB 26(ru) ↔ NUM 100(?),0.0,AB 08-AB 51-[AB 26|NUM 100]
AB 26,AB 24,2,3,dental/coronal,dental/coronal,u,e,13,1,unknown,unclassified: AB 26(ru) ↔ AB 24(ne),0.0,AB 08-AB 51-[AB 26|AB 24]
AB 08,VASE 2,0,3,vowel,?,a,?,13,1,morphological,prefix/suffix substitution: AB 08(a) ↔ VASE 2(?),0.0,[AB 08|VASE 2]-AB 51-AB 26
AB 08,AB 49,0,3,vowel,?,a,?,13,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 49(?),0.0,[AB 08|AB 49]-AB 51-AB 26
AB 26,AB 38,2,3,dental/coronal,vowel,u,e,13,1,morphological,prefix/suffix substitution: AB 26(ru) ↔ AB 38(e),0.0,AB 08-AB 51-[AB 26|AB 38]
AB 46,AB 10,2,3,?,vowel,?,u,12,2,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 10(u),0.0,AB 26-AB 85-[AB 46|AB 10]
AB 26,A 301,2,4,dental/coronal,?,u,?,13,1,unknown,unclassified: AB 26(ru) ↔ A 301(?),0.0,AB 08-AB 51-[AB 26|A 301]-AB 85
AB 08,AB 49,0,4,vowel,?,a,?,13,1,morphological,prefix/suffix substitution: AB 08(a) ↔ AB 49(?),0.0,[AB 08|AB 49]-AB 51-AB 26-AB 85
AB 48,AB 85,0,3,?,?,?,?,1,12,morphological,prefix/suffix substitution: AB 48(?) ↔ AB 85(?),0.0,[AB 48|AB 85]-AB 46-AB 49
AB 73,AB 87,2,3,?,?,?,?,8,5,morphological,prefix/suffix substitution: AB 73(?) ↔ AB 87(?),0.0,AB 30-AB 61-[AB 73|AB 87]
VASE 8,AB 49,0,3,?,?,?,?,1,12,morphological,prefix/suffix substitution: VASE 8(?) ↔ AB 49(?),0.0,[VASE 8|AB 49]-AB 30-AB 30
AB 63,AB 12,2,3,velar/palatal,dental/coronal,e,o,1,12,morphological,prefix/suffix substitution: AB 63(ke) ↔ AB 12(so),0.0,AB 30-AB 52-[AB 63|AB 12]
AB 07,AB 12,2,3,dental/coronal,dental/coronal,i,o,1,12,unknown,unclassified: AB 07(di) ↔ AB 12(so),0.0,AB 30-AB 52-[AB 07|AB 12]
AB 59,AB 62,0,3,?,?,?,?,4,9,morphological,prefix/suffix substitution: AB 59(?) ↔ AB 62(?),0.0,[AB 59|AB 62]-AB 06-AB 36
AB 26,AB 30,1,3,dental/coronal,dental/coronal,u,i,1,12,phonetic,"same class (dental/coronal), different vowel: AB 26(ru) ↔ AB 30(ni)",0.5,AB 49-[AB 26|AB 30]-AB 30
AB 52,AB 12,2,3,?,dental/coronal,?,o,1,12,morphological,prefix/suffix substitution: AB 52(?) ↔ AB 12(so),0.0,AB 30-AB 52-[AB 52|AB 12]
AB 24,AB 30,1,3,dental/coronal,dental/coronal,e,i,1,12,phonetic,"same class (dental/coronal), different vowel: AB 24(ne) ↔ AB 30(ni)",0.5,AB 49-[AB 24|AB 30]-AB 30
AB 26,AB 32,0,3,dental/coronal,vowel,u,i,12,1,morphological,prefix/suffix substitution: AB 26(ru) ↔ AB 32(i),0.0,[AB 26|AB 32]-AB 85-AB 46
AB 85,AB 06,1,3,?,dental/coronal,?,a,12,1,unknown,unclassified: AB 85(?) ↔ AB 06(na),0.0,AB 26-[AB 85|AB 06]-AB 46
AB 46,AB 32,2,3,?,vowel,?,i,12,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 32(i),0.0,AB 26-AB 85-[AB 46|AB 32]
AB 46,AB 38,2,3,?,vowel,?,e,12,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 38(e),0.0,AB 26-AB 85-[AB 46|AB 38]
AB 85,AB 26,0,3,?,dental/coronal,?,u,12,1,morphological,prefix/suffix substitution: AB 85(?) ↔ AB 26(ru),0.0,[AB 85|AB 26]-AB 46-AB 49
AB 49,AB 33,2,3,?,labial,?,a,12,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 33(pa),0.0,AB 85-AB 46-[AB 49|AB 33]
AB 46,AB 32,1,3,?,vowel,?,i,12,1,unknown,unclassified: AB 46(?) ↔ AB 32(i),0.0,AB 85-[AB 46|AB 32]-AB 49
AB 46,AB 10,1,3,?,vowel,?,u,12,1,unknown,unclassified: AB 46(?) ↔ AB 10(u),0.0,AB 85-[AB 46|AB 10]-AB 49
AB 49,AB 35,0,3,?,dental/coronal,?,i,12,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 35(ti),0.0,[AB 49|AB 35]-AB 30-AB 30
AB 30,AB 52,2,3,dental/coronal,?,i,?,12,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 52(?),0.0,AB 49-AB 30-[AB 30|AB 52]
AB 30,AB 49,2,3,dental/coronal,?,i,?,12,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 49(?),0.0,AB 49-AB 30-[AB 30|AB 49]
AB 30,AB 32,2,3,dental/coronal,vowel,i,i,12,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 32(i),0.0,AB 49-AB 30-[AB 30|AB 32]
AB 30,AB 10,2,3,dental/coronal,vowel,i,u,12,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 10(u),0.0,AB 49-AB 30-[AB 30|AB 10]
AB 30,AB 08,1,3,dental/coronal,vowel,i,a,12,1,unknown,unclassified: AB 30(ni) ↔ AB 08(a),0.0,AB 49-[AB 30|AB 08]-AB 30
AB 30,AB 21f,2,3,dental/coronal,?,i,?,12,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 21f(?),0.0,AB 49-AB 30-[AB 30|AB 21f]
AB 12,AB 65,2,3,dental/coronal,velar/palatal,o,u,12,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 65(ju),0.0,AB 30-AB 52-[AB 12|AB 65]
AB 12,AB 08,2,3,dental/coronal,vowel,o,a,12,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 08(a),0.0,AB 30-AB 52-[AB 12|AB 08]
AB 30,AB 36,0,3,dental/coronal,velar/palatal,i,o,12,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 36(jo),0.0,[AB 30|AB 36]-AB 52-AB 12
AB 12,AB 113,2,3,dental/coronal,?,o,?,12,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 113(?),0.0,AB 30-AB 52-[AB 12|AB 113]
AB 12,AB 66,2,3,dental/coronal,?,o,?,12,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 66(?),0.0,AB 30-AB 52-[AB 12|AB 66]
AB 30,AB 58,0,3,dental/coronal,?,i,?,12,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 58(?),0.0,[AB 30|AB 58]-AB 52-AB 12
AB 52,AB 45,1,3,?,dental/coronal,?,i,12,1,unknown,unclassified: AB 52(?) ↔ AB 45(ri),0.0,AB 30-[AB 52|AB 45]-AB 12
AB 46,AB 38,3,4,?,vowel,?,e,12,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 38(e),0.0,AB 51-AB 26-AB 85-[AB 46|AB 38]
AB 46,AB 10,3,4,?,vowel,?,u,12,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 10(u),0.0,AB 51-AB 26-AB 85-[AB 46|AB 10]
AB 12,AB 65,3,4,dental/coronal,velar/palatal,o,u,12,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 65(ju),0.0,AB 30-AB 30-AB 52-[AB 12|AB 65]
AB 12,AB 113,3,4,dental/coronal,?,o,?,12,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 113(?),0.0,AB 30-AB 30-AB 52-[AB 12|AB 113]
AB 12,AB 04,3,4,dental/coronal,dental/coronal,o,e,12,1,unknown,unclassified: AB 12(so) ↔ AB 04(te),0.0,AB 30-AB 30-AB 52-[AB 12|AB 04]
AB 46,AB 38,4,5,?,vowel,?,e,12,1,morphological,prefix/suffix substitution: AB 46(?) ↔ AB 38(e),0.0,AB 08-AB 51-AB 26-AB 85-[AB 46|AB 38]
AB 26,AB 32,0,4,dental/coronal,vowel,u,i,11,1,morphological,prefix/suffix substitution: AB 26(ru) ↔ AB 32(i),0.0,[AB 26|AB 32]-AB 85-AB 46-AB 49
AB 49,AB 33,3,4,?,labial,?,a,11,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 33(pa),0.0,AB 26-AB 85-AB 46-[AB 49|AB 33]
AB 46,AB 32,2,4,?,vowel,?,i,11,1,unknown,unclassified: AB 46(?) ↔ AB 32(i),0.0,AB 26-AB 85-[AB 46|AB 32]-AB 49
AB 46,AB 10,2,4,?,vowel,?,u,11,1,unknown,unclassified: AB 46(?) ↔ AB 10(u),0.0,AB 26-AB 85-[AB 46|AB 10]-AB 49
AB 49,AB 33,4,5,?,labial,?,a,11,1,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 33(pa),0.0,AB 51-AB 26-AB 85-AB 46-[AB 49|AB 33]
AB 46,AB 10,3,5,?,vowel,?,u,11,1,unknown,unclassified: AB 46(?) ↔ AB 10(u),0.0,AB 51-AB 26-AB 85-[AB 46|AB 10]-AB 49
AB 47,AB 06,2,3,dental/coronal,dental/coronal,u,a,8,3,unknown,unclassified: AB 47(nu) ↔ AB 06(na),0.0,AB 66-AB 48-[AB 47|AB 06]
AB 62,AB 51,0,3,?,dental/coronal,?,u,9,2,morphological,prefix/suffix substitution: AB 62(?) ↔ AB 51(du),0.0,[AB 62|AB 51]-AB 06-AB 36
AB 62,AB 23,2,3,?,dental/coronal,?,u,8,3,morphological,prefix/suffix substitution: AB 62(?) ↔ AB 23(mu),0.0,AB 10-AB 06-[AB 62|AB 23]
AB 49,AB 08,0,5,?,vowel,?,a,9,2,morphological,prefix/suffix substitution: AB 49(?) ↔ AB 08(a),0.0,[AB 49|AB 08]-AB 30-AB 30-AB 52-AB 12
AB 87,AB 36,2,3,?,velar/palatal,?,o,1,9,morphological,prefix/suffix substitution: AB 87(?) ↔ AB 36(jo),0.0,AB 62-AB 06-[AB 87|AB 36]
AB 62,AB 01,0,3,?,dental/coronal,?,a,9,1,morphological,prefix/suffix substitution: AB 62(?) ↔ AB 01(da),0.0,[AB 62|AB 01]-AB 06-AB 36
AB 36,AB 17,2,3,velar/palatal,dental/coronal,o,a,9,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 17(za),0.0,AB 62-AB 06-[AB 36|AB 17]
AB 62,AB 33,0,3,?,labial,?,a,9,1,morphological,prefix/suffix substitution: AB 62(?) ↔ AB 33(pa),0.0,[AB 62|AB 33]-AB 06-AB 36
AB 36,AB 29,2,3,velar/palatal,dental/coronal,o,u,9,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 29(pu),0.0,AB 62-AB 06-[AB 36|AB 29]
AB 06,AB 102,1,3,dental/coronal,?,a,?,9,1,unknown,unclassified: AB 06(na) ↔ AB 102(?),0.0,AB 62-[AB 06|AB 102]-AB 36
AB 36,AB 32,2,3,velar/palatal,vowel,o,i,9,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 32(i),0.0,AB 62-AB 06-[AB 36|AB 32]
AB 06,AB 49,1,3,dental/coronal,?,a,?,9,1,unknown,unclassified: AB 06(na) ↔ AB 49(?),0.0,AB 62-[AB 06|AB 49]-AB 36
AB 06,AB 08,1,3,dental/coronal,vowel,a,a,9,1,unknown,unclassified: AB 06(na) ↔ AB 08(a),0.0,AB 62-[AB 06|AB 08]-AB 36
AB 36,AB 26,2,3,velar/palatal,dental/coronal,o,u,9,1,morphological,prefix/suffix substitution: AB 36(jo) ↔ AB 26(ru),0.0,AB 62-AB 06-[AB 36|AB 26]
AB 06,VASE 5,1,3,dental/coronal,?,a,?,9,1,unknown,unclassified: AB 06(na) ↔ VASE 5(?),0.0,AB 62-[AB 06|VASE 5]-AB 36
AB 06,AB 51,2,3,dental/coronal,dental/coronal,a,u,8,2,unknown,unclassified: AB 06(na) ↔ AB 51(du),0.0,AB 26-AB 34-[AB 06|AB 51]
AB 12,AB 65,4,5,dental/coronal,velar/palatal,o,u,9,1,morphological,prefix/suffix substitution: AB 12(so) ↔ AB 65(ju),0.0,AB 49-AB 30-AB 30-AB 52-[AB 12|AB 65]
AB 12,AB 04,4,5,dental/coronal,dental/coronal,o,e,9,1,unknown,unclassified: AB 12(so) ↔ AB 04(te),0.0,AB 49-AB 30-AB 30-AB 52-[AB 12|AB 04]
AB 47,AB 45,2,3,dental/coronal,dental/coronal,u,i,8,1,unknown,unclassified: AB 47(nu) ↔ AB 45(ri),0.0,AB 66-AB 48-[AB 47|AB 45]
AB 47,AB 48,2,3,dental/coronal,?,u,?,8,1,morphological,prefix/suffix substitution: AB 47(nu) ↔ AB 48(?),0.0,AB 66-AB 48-[AB 47|AB 48]
AB 47,A 728,2,3,dental/coronal,?,u,?,8,1,morphological,prefix/suffix substitution: AB 47(nu) ↔ A 728(?),0.0,AB 66-AB 48-[AB 47|A 728]
AB 64,AB 10,0,3,?,vowel,?,u,1,8,morphological,prefix/suffix substitution: AB 64(?) ↔ AB 10(u),0.0,[AB 64|AB 10]-AB 06-AB 62
AB 61,AB 77,1,3,vowel,velar/palatal,o,a,8,1,unknown,unclassified: AB 61(o) ↔ AB 77(ka),0.0,AB 30-[AB 61|AB 77]-AB 73
AB 73,A 726,2,3,?,?,?,?,8,1,morphological,prefix/suffix substitution: AB 73(?) ↔ A 726(?),0.0,AB 30-AB 61-[AB 73|A 726]
AB 73,AB 92,2,3,?,?,?,?,8,1,morphological,prefix/suffix substitution: AB 73(?) ↔ AB 92(?),0.0,AB 30-AB 61-[AB 73|AB 92]
AB 73,A 608,2,3,?,?,?,?,8,1,morphological,prefix/suffix substitution: AB 73(?) ↔ A 608(?),0.0,AB 30-AB 61-[AB 73|A 608]
AB 73,A 383,2,3,?,?,?,?,8,1,morphological,prefix/suffix substitution: AB 73(?) ↔ A 383(?),0.0,AB 30-AB 61-[AB 73|A 383]
AB 73,AB 91,2,3,?,?,?,o,8,1,morphological,prefix/suffix substitution: AB 73(?) ↔ AB 91(lo),0.0,AB 30-AB 61-[AB 73|AB 91]
AB 73,AB 13,2,3,?,labial,?,e,8,1,morphological,prefix/suffix substitution: AB 73(?) ↔ AB 13(me),0.0,AB 30-AB 61-[AB 73|AB 13]
AB 73,AB 71,2,3,?,velar/palatal,?,e,8,1,morphological,prefix/suffix substitution: AB 73(?) ↔ AB 71(ke),0.0,AB 30-AB 61-[AB 73|AB 71]
AB 30,AB 43,0,3,dental/coronal,labial,i,a,8,1,morphological,prefix/suffix substitution: AB 30(ni) ↔ AB 43(pa),0.0,[AB 30|AB 43]-AB 61-AB 73
AB 62,AB 08,2,3,?,vowel,?,a,8,1,morphological,prefix/suffix substitution: AB 62(?) ↔ AB 08(a),0.0,AB 10-AB 06-[AB 62|AB 08]
AB 62,AB 06,2,3,?,dental/coronal,?,a,8,1,morphological,prefix/suffix substitution: AB 62(?) ↔ AB 06(na),0.0,AB 10-AB 06-[AB 62|AB 06]
AB 06,AB 23,0,3,dental/coronal,dental/coronal,a,u,7,2,unknown,unclassified: AB 06(na) ↔ AB 23(mu),0.0,[AB 06|AB 23]-AB 62-AB 06
AB 62,AB 59,1,3,?,?,?,?,7,2,unknown,unclassified: AB 62(?) ↔ AB 59(?),0.0,AB 06-[AB 62|AB 59]-AB 06
AB 34,AB 07,1,3,dental/coronal,dental/coronal,i,i,8,1,phonetic,"same vowel /i/, different consonant: AB 34(ti) ↔ AB 07(di)",0.7,AB 26-[AB 34|AB 07]-AB 06
AB 30,AB 06,2,3,dental/coronal,dental/coronal,i,a,1,7,unknown,unclassified: AB 30(ni) ↔ AB 06(na),0.0,AB 06-AB 62-[AB 30|AB 06]
AB 22f,AB 04,2,3,?,dental/coronal,?,e,1,7,morphological,prefix/suffix substitution: AB 22f(?) ↔ AB 04(te),0.0,AB 36-AB 23-[AB 22f|AB 04]
AB 65,AB 04,2,3,velar/palatal,dental/coronal,u,e,1,7,morphological,prefix/suffix substitution: AB 65(ju) ↔ AB 04(te),0.0,AB 36-AB 23-[AB 65|AB 04]
VASE 10,AB 06,0,3,?,dental/coronal,?,a,1,7,morphological,prefix/suffix substitution: VASE 10(?) ↔ AB 06(na),0.0,[VASE 10|AB 06]-AB 62-AB 06
AB 59,AB 06,0,3,?,dental/coronal,?,a,1,7,morphological,prefix/suffix substitution: AB 59(?) ↔ AB 06(na),0.0,[AB 59|AB 06]-AB 62-AB 06
AB 06,AB 09,0,3,dental/coronal,dental/coronal,a,e,7,1,unknown,unclassified: AB 06(na) ↔ AB 09(se),0.0,[AB 06|AB 09]-AB 62-AB 06
AB 62,AB 57,1,3,?,velar/palatal,?,a,7,1,unknown,unclassified: AB 62(?) ↔ AB 57(ja),0.0,AB 06-[AB 62|AB 57]-AB 06
AB 65,AB 59,2,3,velar/palatal,?,u,?,6,2,morphological,prefix/suffix substitution: AB 65(ju) ↔ AB 59(?),0.0,AB 34-AB 06-[AB 65|AB 59]
AB 23,AB 08,1,3,dental/coronal,vowel,u,a,7,1,unknown,unclassified: AB 23(mu) ↔ AB 08(a),0.0,AB 36-[AB 23|AB 08]-AB 04
AB 04,AB 26,2,3,dental/coronal,dental/coronal,e,u,7,1,unknown,unclassified: AB 04(te) ↔ AB 26(ru),0.0,AB 36-AB 23-[AB 04|AB 26]
AB 23,AB 57,1,3,dental/coronal,velar/palatal,u,a,7,1,unknown,unclassified: AB 23(mu) ↔ AB 57(ja),0.0,AB 36-[AB 23|AB 57]-AB 04
AB 23,AB 01,1,3,dental/coronal,dental/coronal,u,a,7,1,phonetic,"same class (dental/coronal), different vowel: AB 23(mu) ↔ AB 01(da)",0.5,AB 36-[AB 23|AB 01]-AB 04
AB 62,AB 59,1,4,?,?,?,?,6,2,unknown,unclassified: AB 62(?) ↔ AB 59(?),0.0,AB 06-[AB 62|AB 59]-AB 06-AB 36
AB 65,AB 59,3,4,velar/palatal,?,u,?,6,2,morphological,prefix/suffix substitution: AB 65(ju) ↔ AB 59(?),0.0,AB 26-AB 34-AB 06-[AB 65|AB 59]
AB 24,AB 08,0,3,dental/coronal,vowel,e,a,4,3,morphological,prefix/suffix substitution: AB 24(ne) ↔ AB 08(a),0.0,[AB 24|AB 08]-AB 51-AB 06
AB 63,AB 10,2,3,velar/palatal,vowel,e,u,1,6,morphological,prefix/suffix substitution: AB 63(ke) ↔ AB 10(u),0.0,AB 07-AB 06-[AB 63|AB 10]
AB 07,AB 09,0,3,dental/coronal,dental/coronal,i,e,6,1,unknown,unclassified: AB 07(di) ↔ AB 09(se),0.0,[AB 07|AB 09]-AB 06-AB 10
AB 10,A 726,2,3,vowel,?,u,?,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ A 726(?),0.0,AB 07-AB 06-[AB 10|A 726]
AB 10,AB 32,2,3,vowel,vowel,u,i,6,1,unknown,unclassified: AB 10(u) ↔ AB 32(i),0.0,AB 07-AB 06-[AB 10|AB 32]
AB 10,VASE 7,2,3,vowel,?,u,?,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ VASE 7(?),0.0,AB 07-AB 06-[AB 10|VASE 7]
AB 10,AB 02,2,3,vowel,dental/coronal,u,o,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 02(ro),0.0,AB 07-AB 06-[AB 10|AB 02]
AB 07,AB 08,0,3,dental/coronal,vowel,i,a,6,1,morphological,prefix/suffix substitution: AB 07(di) ↔ AB 08(a),0.0,[AB 07|AB 08]-AB 06-AB 10
AB 06,AB 49,1,3,dental/coronal,?,a,?,6,1,unknown,unclassified: AB 06(na) ↔ AB 49(?),0.0,AB 07-[AB 06|AB 49]-AB 10
AB 10,AB 50,2,3,vowel,dental/coronal,u,u,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 50(pu),0.0,AB 07-AB 06-[AB 10|AB 50]
AB 10,AB 104,2,3,vowel,?,u,?,6,1,morphological,prefix/suffix substitution: AB 10(u) ↔ AB 104(?),0.0,AB 07-AB 06-[AB 10|AB 104]
AB 62,AB 24,0,3,?,dental/coronal,?,e,2,5,morphological,prefix/suffix substitution: AB 62(?) ↔ AB 24(ne),0.0,[AB 62|AB 24]-AB 66-AB 02
AB 71,AB 24,0,3,velar/palatal,dental/coronal,e,e,2,5,morphological,prefix/suffix substitution: AB 71(ke) ↔ AB 24(ne),0.0,[AB 71|AB 24]-AB 66-AB 02
AB 24,AB 23,0,3,dental/coronal,dental/coronal,e,u,5,2,unknown,unclassified: AB 24(ne) ↔ AB 23(mu),0.0,[AB 24|AB 23]-AB 66-AB 02
AB 24,AB 51,0,3,dental/coronal,dental/coronal,e,u,5,2,unknown,unclassified: AB 24(ne) ↔ AB 51(du),0.0,[AB 24|AB 51]-AB 66-AB 02
AB 24,AB 01,0,3,dental/coronal,dental/coronal,e,a,5,2,unknown,unclassified: AB 24(ne) ↔ AB 01(da),0.0,[AB 24|AB 01]-AB 66-AB 02
AB 24,AB 05,0,3,dental/coronal,dental/coronal,e,o,5,2,unknown,unclassified: AB 24(ne) ↔ AB 05(to),0.0,[AB 24|AB 05]-AB 66-AB 02
AB 48,AB 59,1,3,?,?,?,?,3,4,unknown,unclassified: AB 48(?) ↔ AB 59(?),0.0,AB 66-[AB 48|AB 59]-AB 06
AB 51,AB 52,1,3,dental/coronal,?,u,?,3,4,unknown,unclassified: AB 51(du) ↔ AB 52(?),0.0,AB 03-[AB 51|AB 52]-AB 22f
AB 44,AB 30,1,3,velar/palatal,dental/coronal,e,i,2,5,unknown,unclassified: AB 44(ke) ↔ AB 30(ni),0.0,AB 08-[AB 44|AB 30]-AB 30
AB 45,AB 34,0,3,dental/coronal,dental/coronal,i,i,1,6,unknown,unclassified: AB 45(ri) ↔ AB 34(ti),0.0,[AB 45|AB 34]-AB 06-AB 65
AB 45,AB 12,1,3,dental/coronal,dental/coronal,i,o,1,6,phonetic,"same class (dental/coronal), different vowel: AB 45(ri) ↔ AB 12(so)",0.5,AB 52-[AB 45|AB 12]-AB 10
AB 54,AB 12,1,3,labial,dental/coronal,a,o,1,6,unknown,unclassified: AB 54(wa) ↔ AB 12(so),0.0,AB 52-[AB 54|AB 12]-AB 10
AB 54,AB 34,0,3,labial,dental/coronal,a,i,1,6,morphological,prefix/suffix substitution: AB 54(wa) ↔ AB 34(ti),0.0,[AB 54|AB 34]-AB 06-AB 65
