fraction_id,inscription_id,sequence,nearby_logograms,all_inscription_logograms,nearby_numbers,text_type,site,period
A 706,163,9,A 400; VASE 7,A 400; VASE 7,"20, 20, 7, 10",administrative,Haghia Triada - Casa del Lebete,LM IB
A 703,168,16,,A 400; VASE 7,"10, 12, 10, 2",administrative,Haghia Triada - Casa del Lebete,LM IB
A 703,168,26,A 400; VASE 7,A 400; VASE 7,"6, 6, 4",administrative,Haghia Triada - Casa del Lebete,LM IB
A 703,168,30,,A 400; VASE 7,"6, 4",administrative,Haghia Triada - Casa del Lebete,LM IB
A 703,169,0,,,"6, 1",administrative,Haghia Triada - Casa del Lebete,LM IB
A 703,169,4,,,"6, 1",administrative,Haghia Triada - Casa del Lebete,LM IB
A 703,169,10,,,"1, 6, 6",administrative,Haghia Triada - Casa del Lebete,LM IB
A 726,170,20,VASE 7,VASE 2; VASE 7,"40, 40, 1, 1, 6",administrative,Haghia Triada - Casa Room 9,LM IB
A 713,173,8,,VASE 7,"30, 2, 451",administrative,Haghia Triada - Casa Room 9,LM IB
A 728,182,37,,VASE 7,"3, 4, 3, 1, 1",administrative,Haghia Triada - Casa del Lebete,LM IB
A 728,182,41,,VASE 7,"4, 3, 1, 1, 1",administrative,Haghia Triada - Casa del Lebete,LM IB
A 728,182,46,VASE 7,VASE 7,"1, 1, 2",administrative,Haghia Triada - Casa del Lebete,LM IB
A 728,182,52,VASE 7,VASE 7,"2, 6",administrative,Haghia Triada - Casa del Lebete,LM IB
A 717,1131,0,,,,administrative,Kea,LM IB
A 706,1134,3,VASE 7,VASE 7,"70, 70, 3, 3",administrative,Khania,Uncertain
A 719,1138,17,,VASE 1; VASE 2; VASE 7,"2, 2",administrative,Khania,LM IB
A 706,1162,5,,,,administrative,Khania,LM IB
A 725,1299,0,,,,administrative,Khania,LM IB
A 725,1300,0,,,,administrative,Khania,LM IB
A 725,1301,0,,,,administrative,Khania,LM IB
A 725,1302,0,,,,administrative,Khania,LM IB
A 725,1303,0,,,,administrative,Khania,LM IB
A 725,1304,0,,,,administrative,Khania,LM IB
A 725,1305,0,,,,administrative,Khania,LM IB
A 725,1306,0,,,,administrative,Khania,LM IB
A 725,1346,0,,,,administrative,Khania,LM IB
A 712,1388,0,,,,administrative,Knossos,Uncertain
A 705,1413,0,,,,religious/dedicatory,Kythera,LM IA
A 722,1421,1,,,"10, 5, 120, 100, 20",administrative,Malia,Uncertain
A 723,1421,4,,,"10, 5, 120, 100, 20, 50, 3",administrative,Malia,Uncertain
A 721,1421,7,,,"10, 5, 120, 100, 20, 50, 3, 30",administrative,Malia,Uncertain
A 720,1421,10,,,"100, 20, 50, 3, 30",administrative,Malia,Uncertain
A 722,1423,6,,,"941, 900, 40, 1, 30, 5",administrative,Malia,Uncertain
A 722,1425,1,,,"4, 4, 80",administrative,Malia,Uncertain
A 705,1432,4,,,4,administrative,Malia,Uncertain
A 712,1590,1,,,"100, 20",administrative,Thera,Uncertain
A 728,1598,7,VASE 4,A 312; VASE 3; VASE 4; VASE 7,"15, 10, 5, 20, 2, 5",administrative,Tylissos,Uncertain
A 729,1598,13,VASE 7,A 312; VASE 3; VASE 4; VASE 7,"20, 2, 5, 3, 7",administrative,Tylissos,Uncertain
A 728,1598,18,VASE 7,A 312; VASE 3; VASE 4; VASE 7,"3, 7, 7, 51",administrative,Tylissos,Uncertain
A 729,1598,35,VASE 3; VASE 7,A 312; VASE 3; VASE 4; VASE 7,"2, 4, 1, 4, 21",administrative,Tylissos,Uncertain
A 728,1598,46,,A 312; VASE 3; VASE 4; VASE 7,"4, 20, 1, 2",administrative,Tylissos,Uncertain
A 730,1599,17,,,"11, 10, 1, 2, 2, 220",administrative,Tylissos,Uncertain
A 716,1611,8,A 400; VASE 4,A 400; VASE 4,"50, 40, 10",religious/dedicatory,Zakros,Uncertain
A 718,1611,10,A 400; VASE 4,A 400; VASE 4,"50, 40, 10, 40",religious/dedicatory,Zakros,Uncertain
A 716,1625,12,,,"70, 8, 17, 10, 7",religious/dedicatory,Zakros,Uncertain
A 725,1675,0,,,,religious/dedicatory,Armenoi,MM II
A 716,1678,5,,,,religious/dedicatory,Crete,Uncertain
