triple_id,total_connections,connections,sign_1,sign_2,sign_3,shared_following,shared_preceding,s1_in_uncertain,s2_in_uncertain,s3_in_uncertain,uncertain_count,sign_1_ml_pred,sign_2_ml_pred,sign_3_ml_pred,sign_1_ml_conf,sign_2_ml_conf,sign_3_ml_conf,sign_1_pos_init,sign_2_pos_init,sign_3_pos_init,sign_1_pos_fin,sign_2_pos_fin,sign_3_pos_fin,sign_1_total_occ,sign_2_total_occ,sign_3_total_occ
51824,3,"C,V,both",AB 41,AB 75,AB 65,"AB 05,AB 38","AB 38,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.158,0.243,0.0,0.29,0.432,0.36,720,940,25
57888,3,"C,V,both",AB 59,AB 80,AB 82,"AB 12,AB 70","AB 27,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.18,0.418,0.095,0.436,0.172,0.714,1217,447,21
1340,3,"C,V,both",AB 01,AB 67,AB 39,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.506,0.351,0.22,0.059,0.071,0.374,640,467,577
3611,3,"C,V,both",AB 02,AB 58,AB 76,"AB 56,AB 70","AB 12,AB 37,AB 59",True,True,True,3,,,,0.0,0.0,0.0,0.048,0.535,0.016,0.677,0.035,0.459,1479,144,61
6070,3,"C,V,both",AB 03,AB 53,AB 48,AB 12,"AB 37,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.7,0.164,0.125,0.104,0.121,0.25,866,794,24
6673,3,"C,V,both",AB 03,AB 50,AB 39,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.7,0.685,0.22,0.104,0.071,0.374,866,241,577
12548,3,"C,V,both",AB 06,AB 80,AB 32,AB 12,"AB 38,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.06,0.418,0.172,0.439,0.172,0.297,947,447,290
14107,3,"C,V,both",AB 07,AB 14,AB 77,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.603,0.595,0.502,0.047,0.087,0.208,214,566,904
20291,3,"C,V,both",AB 10,AB 54,AB 51,"AB 02,AB 12","AB 10,AB 70,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.185,0.235,0.444,0.345,0.464,0.145,899,668,117
20751,3,"C,V,both",AB 10,AB 81,AB 24,"AB 12,AB 38","AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.185,0.762,0.206,0.345,0.058,0.322,899,378,407
22266,3,"C,V,both",AB 11,AB 80,AB 41,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.617,0.418,0.158,0.108,0.172,0.29,517,447,720
25739,3,"C,V,both",AB 13,AB 75,AB 62,AB 38,"AB 12,AB 59",True,True,True,3,,,,0.0,0.0,0.0,0.431,0.243,0.438,0.088,0.432,0.167,696,940,48
26300,3,"C,V,both",AB 13,AB 63,AB 27,"AB 10,AB 38","AB 12,AB 54",True,True,True,3,,,,0.0,0.0,0.0,0.431,0.889,0.152,0.088,0.0,0.159,696,18,970
28042,3,"C,V,both",AB 14,AB 42,AB 58,"AB 38,AB 70","AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.595,0.18,0.535,0.087,0.615,0.035,566,974,144
28485,3,"C,V,both",AB 15,AB 28,AB 30,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.066,0.361,0.088,0.803,0.293,0.079,603,662,419
32466,3,"C,V,both",AB 17,AB 26,AB 44,AB 12,"AB 02,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.25,0.348,0.277,0.537,0.086,0.21,80,336,1268
33604,3,"C,V,both",AB 20,AB 32,AB 60,"AB 12,AB 38","AB 38,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.199,0.172,0.224,0.371,0.297,0.262,151,290,1243
35514,3,"C,V,both",AB 22,AB 52,AB 06,"AB 12,AB 37","AB 01,AB 51,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.164,0.075,0.06,0.075,0.657,0.439,67,670,947
35963,3,"C,V,both",AB 23,AB 24,AB 60,"AB 38,AB 70",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.471,0.206,0.224,0.029,0.322,0.262,34,407,1243
37526,3,"C,V,both",AB 24,AB 53,AB 78,AB 38,"AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.206,0.164,0.259,0.322,0.121,0.611,407,794,483
39911,3,"C,V,both",AB 26,AB 27,AB 81,"AB 12,AB 38,AB 70","AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.348,0.152,0.762,0.086,0.159,0.058,336,970,378
40062,3,"C,V,both",AB 26,AB 44,AB 56,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.348,0.277,0.775,0.086,0.21,0.087,336,1268,80
40617,3,"C,V,both",AB 27,AB 28,AB 29,"AB 02,AB 38","AB 36,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.152,0.361,0.423,0.159,0.293,0.058,970,662,52
40623,3,"C,V,both",AB 27,AB 28,AB 74,"AB 10,AB 12,AB 38","AB 02,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.152,0.361,0.25,0.159,0.293,0.154,970,662,52
41820,3,"C,V,both",AB 28,AB 62,AB 42,AB 38,"AB 59,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.361,0.438,0.18,0.293,0.167,0.615,662,48,974
44055,3,"C,V,both",AB 30,AB 62,AB 59,"AB 12,AB 38","AB 59,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.088,0.438,0.18,0.079,0.167,0.436,419,48,1217
44096,3,"C,V,both",AB 30,AB 37,AB 52,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.088,0.225,0.075,0.079,0.106,0.657,419,595,670
47371,3,"C,V,both",AB 34,AB 43,AB 70,"AB 12,AB 59","AB 15,AB 24,AB 70",True,True,True,3,,,,0.0,0.0,0.0,0.731,0.947,0.55,0.0,0.0,0.176,26,94,1564
48725,3,"C,V,both",AB 37,AB 45,AB 39,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.225,0.148,0.22,0.106,0.701,0.374,595,512,577
51670,3,"C,V,both",AB 41,AB 53,AB 55,"AB 12,AB 38,AB 70",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.158,0.164,0.112,0.29,0.121,0.229,720,794,170
51828,3,"C,V,both",AB 41,AB 75,AB 48,"AB 12,AB 36,AB 38","AB 37,AB 41,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.158,0.243,0.125,0.29,0.432,0.25,720,940,24
53411,3,"C,V,both",AB 44,AB 81,AB 85,"AB 12,AB 59","AB 12,AB 36",True,True,True,3,,,,0.0,0.0,0.0,0.277,0.762,1.0,0.21,0.058,0.026,1268,378,38
53864,3,"C,V,both",AB 45,AB 53,AB 81,AB 12,"AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.148,0.164,0.762,0.701,0.121,0.058,512,794,378
1011,3,"C,V,both",AB 01,AB 58,AB 10,"AB 12,AB 56,AB 70","AB 12,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.506,0.535,0.185,0.059,0.035,0.345,640,144,899
4552,3,"C,V,both",AB 02,AB 23,AB 55,AB 70,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.048,0.471,0.112,0.677,0.029,0.229,1479,34,170
6415,3,"C,V,both",AB 03,AB 07,AB 15,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.7,0.603,0.066,0.104,0.047,0.803,866,214,603
7622,3,"C,V,both",AB 04,AB 62,AB 11,"AB 12,AB 38","AB 59,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.28,0.438,0.617,0.265,0.167,0.108,1118,48,517
13684,3,"C,V,both",AB 06,AB 55,AB 14,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.06,0.112,0.595,0.439,0.229,0.087,947,170,566
17594,3,"C,V,both",AB 08,AB 26,AB 76,"AB 56,AB 70","AB 37,AB 59,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.904,0.348,0.016,0.074,0.086,0.459,1286,336,61
23937,3,"C,V,both",AB 12,AB 54,AB 73,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.05,0.235,0.253,0.534,0.464,0.111,727,668,288
24467,3,"C,V,both",AB 12,AB 77,AB 29,"AB 02,AB 56","AB 36,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.05,0.502,0.423,0.534,0.208,0.058,727,904,52
24472,3,"C,V,both",AB 12,AB 77,AB 74,"AB 12,AB 56","AB 02,AB 36,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.05,0.502,0.25,0.534,0.208,0.154,727,904,52
27663,3,"C,V,both",AB 14,AB 52,AB 80,AB 12,AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.595,0.075,0.418,0.087,0.657,0.172,566,670,447
35560,3,"C,V,both",AB 22,AB 74,AB 70,"AB 12,AB 37","AB 02,AB 07",True,True,True,3,,,,0.0,0.0,0.0,0.164,0.25,0.55,0.075,0.154,0.176,67,52,1564
37812,3,"C,V,both",AB 24,AB 75,AB 26,"AB 38,AB 56,AB 70",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.206,0.243,0.348,0.322,0.432,0.086,407,940,336
38221,3,"C,V,both",AB 25,AB 57,AB 73,"AB 12,AB 38",AB 77,True,True,True,3,,,,0.0,0.0,0.0,0.208,0.059,0.253,0.572,0.654,0.111,173,1222,288
40934,3,"C,V,both",AB 27,AB 54,AB 68,AB 38,"AB 38,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.152,0.235,0.0,0.159,0.464,0.644,970,668,45
42173,3,"C,V,both",AB 28,AB 51,AB 77,"AB 02,AB 12","AB 10,AB 56,AB 77",True,True,True,3,,,,0.0,0.0,0.0,0.361,0.444,0.502,0.293,0.145,0.208,662,117,904
