link_type,sign_a,sign_b,shared_following_sign,shared_preceding_sign,bigram_total,total_common_right,total_common_left,common_right_signs,common_left_signs
consonant-candidate,AB 56,AB 66,AB 02,,56,13,,"AB 01, AB 02, AB 06, AB 09, AB 23",
vowel-candidate,AB 48,AB 02,,AB 66,53,,2,,"AB 01, AB 66"
vowel-candidate,AB 02,AB 03,,AB 66,51,,5,,"AB 24, AB 47, AB 62, AB 65, AB 66"
consonant-candidate,AB 30,AB 66,AB 02,,44,7,,"AB 02, AB 23, AB 24, AB 26, AB 52",
consonant-candidate,AB 66,AB 01,AB 02,,44,14,,"AB 01, AB 02, AB 06, AB 23, AB 24",
vowel-candidate,AB 02,AB 64,,AB 66,44,,1,,AB 66
vowel-candidate,AB 02,AB 59,,AB 66,44,,5,,"AB 01, AB 24, AB 30, AB 47, AB 66"
consonant-candidate,AB 66,AB 69,AB 02,,43,1,,AB 02,
consonant-candidate,AB 66,AB 65,AB 02,,42,11,,"AB 02, AB 03, AB 06, AB 09, AB 23",
vowel-candidate,AB 02,AB 66,,AB 66,42,,5,,"AB 01, AB 24, AB 62, AB 65, AB 66"
consonant-candidate,AB 66,AB 62,AB 02,,41,10,,"AB 02, AB 03, AB 06, AB 09, AB 23",
consonant-candidate,AB 66,AB 24,AB 02,,41,11,,"AB 02, AB 03, AB 06, AB 26, AB 32",
consonant-candidate,AB 66,AB 47,AB 02,,41,10,,"AB 01, AB 02, AB 03, AB 09, AB 26",
vowel-candidate,AB 02,AB 26,,AB 66,41,,7,,"AB 01, AB 24, AB 30, AB 47, AB 62"
vowel-candidate,AB 02,AB 54,,AB 66,41,,4,,"AB 01, AB 24, AB 65, AB 66"
vowel-candidate,AB 44,AB 51,,AB 08,37,,7,,"AB 01, AB 08, AB 26, AB 36, AB 49"
consonant-candidate,AB 08,AB 30,AB 52,,32,10,,"AB 22f, AB 23, AB 24, AB 26, AB 30",
consonant-candidate,AB 30,AB 26,AB 61,,29,4,,"AB 30, AB 49, AB 59, AB 61",
consonant-candidate,AB 30,AB 03,AB 52,,29,7,,"AB 24, AB 26, AB 30, AB 45, AB 49",
consonant-candidate,AB 51,AB 34,AB 06,,29,5,,"AB 04, AB 06, AB 32, AB 51, AB 62",
consonant-candidate,AB 07,AB 30,AB 52,,28,6,,"AB 22f, AB 24, AB 45, AB 49, AB 52",
consonant-candidate,AB 96,AB 51,AB 26,,27,1,,AB 26,
vowel-candidate,AB 52,AB 44,,AB 08,27,,7,,"AB 01, AB 06, AB 08, AB 36, AB 49"
consonant-candidate,AB 51,AB 30,AB 52,,26,7,,"AB 22f, AB 24, AB 26, AB 45, AB 49",
consonant-candidate,AB 30,AB 36,AB 52,,26,7,,"AB 23, AB 24, AB 26, AB 30, AB 49",
consonant-candidate,AB 51,AB 45,AB 06,,26,11,,"AB 01, AB 04, AB 06, AB 08, AB 26",
consonant-candidate,AB 51,AB 05,AB 26,,26,2,,"AB 26, AB 66",
vowel-candidate,AB 48,AB 03,,AB 66,26,,2,,"AB 08, AB 66"
vowel-candidate,AB 62,AB 51,,AB 08,26,,12,,"AB 01, AB 08, AB 23, AB 26, AB 29"
vowel-candidate,AB 44,AB 30,,AB 08,26,,9,,"AB 02, AB 06, AB 08, AB 26, AB 36"
vowel-candidate,AB 10,AB 36,,AB 06,26,,8,,"AB 01, AB 06, AB 24, AB 29, AB 49"
vowel-candidate,AB 02,AB 61,,AB 30,26,,1,,AB 30
consonant-candidate,AB 63,AB 30,AB 61,,25,5,,"AB 43, AB 45, AB 49, AB 52, AB 61",
consonant-candidate,AB 30,AB 44,AB 52,,25,8,,"AB 22f, AB 23, AB 24, AB 30, AB 45",
vowel-candidate,AB 36,AB 44,,AB 08,25,,9,,"AB 01, AB 02, AB 06, AB 08, AB 26"
vowel-candidate,AB 45,AB 44,,AB 08,25,,7,,"AB 01, AB 08, AB 32, AB 51, AB 52"
vowel-candidate,AB 09,AB 44,,AB 08,25,,4,,"AB 08, AB 26, AB 49, AB 62"
vowel-candidate,AB 61,AB 24,,AB 30,25,,1,,AB 30
vowel-candidate,AB 61,AB 22f,,AB 30,25,,1,,AB 30
vowel-candidate,AB 52,AB 77,,AB 30,25,,1,,AB 30
vowel-candidate,AB 52,AB 21f,,AB 30,25,,1,,AB 30
consonant-candidate,AB 59,AB 30,AB 52,,24,6,,"AB 22f, AB 24, AB 26, AB 49, AB 52",
consonant-candidate,AB 30,AB 35,AB 52,,24,4,,"AB 26, AB 30, AB 49, AB 52",
consonant-candidate,AB 51,AB 29,AB 06,,24,12,,"AB 01, AB 04, AB 06, AB 08, AB 26",
consonant-candidate,AB 66,AB 87,AB 29,,24,1,,AB 29,
vowel-candidate,AB 02,AB 24,,AB 56,24,,6,,"AB 01, AB 30, AB 56, AB 62, AB 65"
vowel-candidate,AB 02,AB 51,,AB 56,24,,6,,"AB 01, AB 24, AB 56, AB 62, AB 65"
vowel-candidate,AB 24,AB 44,,AB 08,24,,8,,"AB 01, AB 06, AB 08, AB 36, AB 49"
vowel-candidate,AB 44,AB 49,,AB 08,24,,11,,"AB 06, AB 08, AB 26, AB 32, AB 36"
vowel-candidate,AB 26,AB 37,,AB 51,24,,2,,"AB 04, AB 51"
vowel-candidate,AB 26,AB 38,,AB 51,24,,3,,"AB 03, AB 45, AB 51"
vowel-candidate,AB 61,AB 85,,AB 26,24,,1,,AB 26
vowel-candidate,AB 61,AB 12,,AB 30,24,,1,,AB 30
vowel-candidate,AB 61,AB 77,,AB 30,24,,2,,"AB 30, AB 43"
vowel-candidate,AB 61,AB 21f,,AB 30,24,,1,,AB 30
vowel-candidate,AB 52,AB 111,,AB 30,24,,1,,AB 30
consonant-candidate,AB 30,AB 43,AB 61,,23,2,,"AB 61, AB 77",
consonant-candidate,AB 30,AB 32,AB 61,,23,6,,"AB 23, AB 26, AB 45, AB 49, AB 61",
consonant-candidate,AB 12,AB 08,AB 51,,23,5,,"AB 01, AB 03, AB 26, AB 51, AB 59",
vowel-candidate,AB 02,AB 52,,AB 56,23,,5,,"AB 01, AB 30, AB 56, AB 62, AB 66"
vowel-candidate,AB 02,AB 45,,AB 56,23,,5,,"AB 01, AB 30, AB 56, AB 62, AB 65"
vowel-candidate,AB 62,AB 44,,AB 08,23,,10,,"AB 01, AB 06, AB 08, AB 26, AB 32"
vowel-candidate,AB 50,AB 51,,AB 08,23,,6,,"AB 01, AB 08, AB 29, AB 45, AB 49"
vowel-candidate,AB 44,AB 03,,AB 08,23,,9,,"AB 06, AB 08, AB 32, AB 36, AB 49"
vowel-candidate,AB 44,AB 01,,AB 08,23,,10,,"AB 01, AB 02, AB 06, AB 08, AB 26"
vowel-candidate,AB 44,AB 65,,AB 08,23,,9,,"AB 01, AB 02, AB 06, AB 08, AB 32"
vowel-candidate,AB 51,AB 22f,,AB 08,23,,5,,"AB 08, AB 23, AB 51, AB 59, AB 65"
vowel-candidate,AB 08,AB 12,,AB 52,23,,2,,"AB 01, AB 52"
vowel-candidate,AB 06,AB 37,,AB 51,23,,2,,"AB 26, AB 51"
vowel-candidate,AB 61,AB 111,,AB 30,23,,1,,AB 30
vowel-candidate,AB 61,AB 10,,AB 30,23,,1,,AB 30
vowel-candidate,AB 30,AB 21f,,AB 30,23,,1,,AB 30
consonant-candidate,AB 56,AB 30,AB 02,,22,8,,"AB 02, AB 23, AB 24, AB 30, AB 45",
consonant-candidate,AB 08,AB 90,AB 51,,22,2,,"AB 51, AB 57",
consonant-candidate,AB 30,AB 73,AB 30,,22,1,,AB 30,
consonant-candidate,AB 30,AB 55,AB 30,,22,1,,AB 30,
vowel-candidate,AB 02,AB 30,,AB 56,22,,4,,"AB 24, AB 30, AB 56, AB 62"
vowel-candidate,AB 02,AB 09,,AB 56,22,,5,,"AB 47, AB 56, AB 62, AB 65, AB 66"
vowel-candidate,AB 23,AB 44,,AB 08,22,,8,,"AB 01, AB 06, AB 08, AB 32, AB 36"
vowel-candidate,AB 44,AB 59,,AB 08,22,,7,,"AB 01, AB 06, AB 08, AB 26, AB 36"
vowel-candidate,AB 39,AB 51,,AB 08,22,,2,,"AB 08, AB 51"
vowel-candidate,AB 51,AB 85,,AB 08,22,,3,,"AB 04, AB 08, AB 26"
vowel-candidate,AB 30,AB 111,,AB 30,22,,1,,AB 30
vowel-candidate,AB 88,AB 86,,AB 73,22,,1,,AB 73
consonant-candidate,AB 56,AB 69,AB 02,,21,2,,"AB 02, AB 36",
consonant-candidate,AB 31,AB 06,AB 36,,21,1,,AB 36,
consonant-candidate,AB 48,AB 87,AB 29,,21,1,,AB 29,
consonant-candidate,AB 08,AB 83,AB 44,,21,1,,AB 44,
vowel-candidate,AB 02,AB 01,,AB 56,21,,4,,"AB 01, AB 47, AB 56, AB 66"
vowel-candidate,AB 02,AB 08,,AB 56,21,,4,,"AB 01, AB 24, AB 56, AB 62"
vowel-candidate,AB 02,AB 32,,AB 56,21,,5,,"AB 24, AB 47, AB 56, AB 65, AB 66"
vowel-candidate,AB 02,AB 04,,AB 56,21,,5,,"AB 01, AB 24, AB 47, AB 56, AB 65"
vowel-candidate,AB 29,AB 03,,AB 66,21,,9,,"AB 04, AB 06, AB 08, AB 32, AB 36"
vowel-candidate,AB 66,AB 44,,AB 08,21,,12,,"AB 01, AB 02, AB 06, AB 08, AB 26"
vowel-candidate,AB 44,AB 06,,AB 08,21,,10,,"AB 01, AB 06, AB 08, AB 26, AB 32"
vowel-candidate,AB 44,AB 07,,AB 08,21,,10,,"AB 08, AB 26, AB 32, AB 36, AB 46"
vowel-candidate,AB 63,AB 36,,AB 06,21,,3,,"AB 01, AB 06, AB 09"
vowel-candidate,AB 36,AB 73,,AB 06,21,,5,,"AB 02, AB 04, AB 06, AB 22f, AB 24"
vowel-candidate,AB 30,AB 46,,AB 49,21,,3,,"AB 09, AB 44, AB 49"
consonant-candidate,AB 45,AB 62,AB 06,,20,9,,"AB 06, AB 08, AB 23, AB 26, AB 36",
consonant-candidate,AB 06,AB 69,AB 36,,20,1,,AB 36,
consonant-candidate,AB 06,AB 68,AB 36,,20,1,,AB 36,
consonant-candidate,AB 73,AB 87,AB 29,,20,1,,AB 29,
consonant-candidate,AB 55,AB 49,AB 30,,20,1,,AB 30,
vowel-candidate,AB 02,AB 56,,AB 56,20,,5,,"AB 01, AB 24, AB 56, AB 62, AB 65"
vowel-candidate,AB 02,AB 23,,AB 56,20,,6,,"AB 01, AB 30, AB 56, AB 62, AB 65"
vowel-candidate,AB 02,AB 47,,AB 56,20,,2,,"AB 56, AB 62"
vowel-candidate,AB 50,AB 44,,AB 08,20,,5,,"AB 01, AB 06, AB 08, AB 49, AB 57"
vowel-candidate,AB 44,AB 48,,AB 08,20,,3,,"AB 01, AB 08, AB 73"
vowel-candidate,AB 44,AB 22f,,AB 08,20,,4,,"AB 08, AB 51, AB 52, AB 57"
vowel-candidate,AB 44,AB 32,,AB 08,20,,7,,"AB 06, AB 08, AB 26, AB 32, AB 49"
vowel-candidate,AB 04,AB 12,,AB 52,20,,4,,"AB 01, AB 23, AB 52, AB 57"
vowel-candidate,AB 36,AB 17,,AB 06,20,,3,,"AB 06, AB 49, AB 57"
vowel-candidate,AB 36,AB 53,,AB 06,20,,1,,AB 06
vowel-candidate,AB 50,AB 77,,AB 29,20,,1,,AB 29
vowel-candidate,AB 85,AB 64,,AB 26,20,,1,,AB 26
consonant-candidate,AB 56,AB 47,AB 02,,19,8,,"AB 01, AB 02, AB 04, AB 09, AB 29",
consonant-candidate,AB 07,AB 45,AB 06,,19,8,,"AB 01, AB 04, AB 06, AB 29, AB 36",
consonant-candidate,AB 45,AB 59,AB 06,,19,9,,"AB 01, AB 06, AB 08, AB 26, AB 36",
consonant-candidate,AB 01,AB 28,AB 24,,19,1,,AB 24,
consonant-candidate,AB 44,AB 87,AB 29,,19,1,,AB 29,
consonant-candidate,AB 87,AB 07,AB 29,,19,1,,AB 29,
vowel-candidate,AB 02,AB 65,,AB 56,19,,5,,"AB 01, AB 30, AB 47, AB 56, AB 66"
vowel-candidate,AB 02,AB 96,,AB 56,19,,1,,AB 56
vowel-candidate,AB 02,AB 38,,AB 56,19,,1,,AB 56
vowel-candidate,AB 02,AB 57,,AB 56,19,,4,,"AB 24, AB 47, AB 56, AB 66"
vowel-candidate,AB 02,AB 06,,AB 56,19,,6,,"AB 01, AB 24, AB 56, AB 62, AB 65"
vowel-candidate,AB 02,AB 07,,AB 56,19,,4,,"AB 24, AB 56, AB 62, AB 65"
vowel-candidate,AB 02,AB 13,,AB 56,19,,2,,"AB 56, AB 62"
vowel-candidate,AB 02,AB 36,,AB 56,19,,6,,"AB 01, AB 24, AB 56, AB 62, AB 65"
vowel-candidate,AB 02,AB 34,,AB 56,19,,3,,"AB 24, AB 56, AB 66"
vowel-candidate,AB 02,AB 49,,AB 56,19,,4,,"AB 24, AB 30, AB 56, AB 62"
vowel-candidate,AB 02,AB 29,,AB 56,19,,4,,"AB 01, AB 47, AB 56, AB 66"
vowel-candidate,AB 48,AB 64,,AB 66,19,,1,,AB 66
vowel-candidate,AB 48,AB 59,,AB 66,19,,3,,"AB 01, AB 08, AB 66"
vowel-candidate,AB 44,AB 57,,AB 08,19,,4,,"AB 06, AB 08, AB 36, AB 52"
vowel-candidate,AB 44,AB 26,,AB 08,19,,8,,"AB 01, AB 06, AB 08, AB 32, AB 36"
vowel-candidate,AB 44,AB 54,,AB 08,19,,4,,"AB 01, AB 08, AB 32, AB 52"
vowel-candidate,AB 44,AB 39,,AB 08,19,,2,,"AB 08, AB 51"
vowel-candidate,AB 44,AB 29,,AB 08,19,,9,,"AB 01, AB 02, AB 06, AB 08, AB 32"
vowel-candidate,AB 44,AB 56,,AB 08,19,,11,,"AB 01, AB 02, AB 06, AB 08, AB 26"
vowel-candidate,AB 44,AB 85,,AB 08,19,,2,,"AB 08, AB 26"
vowel-candidate,AB 32,AB 12,,AB 52,19,,1,,AB 52
vowel-candidate,AB 03,AB 12,,AB 52,19,,2,,"AB 52, AB 57"
vowel-candidate,AB 22f,AB 12,,AB 52,19,,4,,"AB 23, AB 30, AB 52, AB 57"
vowel-candidate,AB 24,AB 12,,AB 52,19,,3,,"AB 01, AB 30, AB 52"
vowel-candidate,AB 62,AB 77,,AB 29,19,,1,,AB 29
vowel-candidate,AB 76,AB 85,,AB 26,19,,1,,AB 26
vowel-candidate,AB 61,AB 34,,AB 26,19,,1,,AB 26
consonant-candidate,AB 45,AB 10,AB 06,,18,5,,"AB 06, AB 08, AB 38, AB 51, AB 59",
consonant-candidate,AB 47,AB 23,AB 65,,18,5,,"AB 01, AB 04, AB 26, AB 35, AB 65",
consonant-candidate,AB 64,AB 87,AB 29,,18,1,,AB 29,
consonant-candidate,AB 87,AB 14,AB 29,,18,2,,"AB 29, AB 87",
consonant-candidate,AB 87,AB 88,AB 29,,18,2,,"AB 29, AB 87",
vowel-candidate,AB 32,AB 06,,AB 10,18,,13,,"AB 06, AB 08, AB 10, AB 24, AB 26"
vowel-candidate,AB 03,AB 24,,AB 66,18,,11,,"AB 04, AB 06, AB 08, AB 36, AB 44"
vowel-candidate,AB 06,AB 12,,AB 52,18,,2,,"AB 01, AB 52"
vowel-candidate,AB 56,AB 12,,AB 52,18,,4,,"AB 01, AB 23, AB 52, AB 57"
vowel-candidate,AB 49,AB 12,,AB 52,18,,4,,"AB 23, AB 30, AB 52, AB 57"
vowel-candidate,AB 10,AB 65,,AB 06,18,,5,,"AB 01, AB 06, AB 29, AB 30, AB 49"
vowel-candidate,AB 51,AB 14,,AB 24,18,,4,,"AB 12, AB 24, AB 29, AB 59"
vowel-candidate,AB 07,AB 14,,AB 24,18,,2,,"AB 24, AB 32"
vowel-candidate,AB 01,AB 77,,AB 29,18,,2,,"AB 02, AB 29"
vowel-candidate,AB 38,AB 85,,AB 26,18,,1,,AB 26
vowel-candidate,AB 05,AB 85,,AB 26,18,,1,,AB 26
vowel-candidate,AB 75,AB 85,,AB 26,18,,1,,AB 26
consonant-candidate,AB 50,AB 07,AB 56,,17,7,,"AB 07, AB 24, AB 29, AB 36, AB 56",
consonant-candidate,AB 66,AB 73,AB 48,,17,4,,"AB 01, AB 29, AB 48, AB 66",
consonant-candidate,AB 66,AB 08,AB 48,,17,17,,"AB 01, AB 03, AB 06, AB 09, AB 23",
consonant-candidate,AB 30,AB 23,AB 65,,17,6,,"AB 12, AB 22f, AB 26, AB 30, AB 49",
consonant-candidate,AB 87,AB 61,AB 29,,17,2,,"AB 29, AB 87",
consonant-candidate,AB 87,AB 50,AB 29,,17,1,,AB 29,
consonant-candidate,AB 87,AB 71,AB 29,,17,1,,AB 29,
consonant-candidate,AB 87,AB 08,AB 29,,17,1,,AB 29,
consonant-candidate,AB 87,AB 47,AB 29,,17,1,,AB 29,
consonant-candidate,AB 46,AB 30,AB 49,,17,2,,"AB 30, AB 49",
consonant-candidate,AB 43,AB 29,AB 77,,17,1,,AB 77,
vowel-candidate,AB 38,AB 06,,AB 10,17,,6,,"AB 07, AB 10, AB 26, AB 45, AB 51"
vowel-candidate,AB 06,AB 62,,AB 07,17,,15,,"AB 01, AB 06, AB 07, AB 08, AB 26"
vowel-candidate,AB 48,AB 51,,AB 66,17,,3,,"AB 01, AB 08, AB 66"
vowel-candidate,AB 48,AB 66,,AB 66,17,,4,,"AB 01, AB 08, AB 66, AB 73"
vowel-candidate,AB 48,AB 23,,AB 66,17,,3,,"AB 01, AB 08, AB 66"
vowel-candidate,AB 48,AB 09,,AB 66,17,,2,,"AB 08, AB 66"
vowel-candidate,AB 48,AB 57,,AB 66,17,,2,,"AB 08, AB 66"
vowel-candidate,AB 48,AB 32,,AB 66,17,,2,,"AB 08, AB 66"
vowel-candidate,AB 64,AB 03,,AB 66,17,,2,,"AB 36, AB 66"
vowel-candidate,AB 03,AB 59,,AB 66,17,,11,,"AB 04, AB 06, AB 08, AB 12, AB 24"
vowel-candidate,AB 63,AB 12,,AB 52,17,,3,,"AB 01, AB 23, AB 52"
vowel-candidate,AB 66,AB 12,,AB 52,17,,4,,"AB 01, AB 23, AB 52, AB 57"
vowel-candidate,AB 57,AB 12,,AB 52,17,,1,,AB 52
vowel-candidate,AB 10,AB 62,,AB 06,17,,6,,"AB 01, AB 06, AB 29, AB 49, AB 62"
vowel-candidate,AB 06,AB 71,,AB 62,17,,2,,"AB 32, AB 62"
vowel-candidate,AB 77,AB 87,,AB 29,17,,3,,"AB 02, AB 29, AB 87"
vowel-candidate,AB 88,AB 29,,AB 73,17,,1,,AB 73
vowel-candidate,AB 88,AB 75,,AB 73,17,,1,,AB 73
consonant-candidate,AB 66,AB 07,AB 48,,16,7,,"AB 01, AB 06, AB 24, AB 29, AB 48",
consonant-candidate,AB 48,AB 59,AB 47,,16,2,,"AB 06, AB 47",
consonant-candidate,AB 64,AB 59,AB 06,,16,1,,AB 06,
consonant-candidate,AB 66,AB 10,AB 06,,16,4,,"AB 06, AB 32, AB 51, AB 59",
consonant-candidate,AB 34,AB 03,AB 51,,16,4,,"AB 04, AB 30, AB 32, AB 51",
consonant-candidate,AB 46,AB 57,AB 49,,16,2,,"AB 44, AB 49",
consonant-candidate,AB 46,AB 63,AB 49,,16,1,,AB 49,
consonant-candidate,AB 64,AB 85,AB 46,,16,1,,AB 46,
vowel-candidate,AB 113,AB 06,,AB 10,16,,1,,AB 10
vowel-candidate,AB 31,AB 06,,AB 10,16,,1,,AB 10
vowel-candidate,AB 51,AB 06,,AB 10,16,,15,,"AB 01, AB 08, AB 10, AB 24, AB 26"
vowel-candidate,AB 42,AB 06,,AB 10,16,,1,,AB 10
vowel-candidate,AB 06,AB 22f,,AB 07,16,,6,,"AB 07, AB 08, AB 51, AB 52, AB 59"
vowel-candidate,AB 06,AB 48,,AB 07,16,,4,,"AB 01, AB 07, AB 08, AB 66"
vowel-candidate,AB 06,AB 18,,AB 07,16,,1,,AB 07
vowel-candidate,AB 48,AB 26,,AB 66,16,,3,,"AB 01, AB 08, AB 66"
vowel-candidate,AB 48,AB 34,,AB 66,16,,1,,AB 66
vowel-candidate,AB 48,AB 54,,AB 66,16,,3,,"AB 01, AB 08, AB 66"
vowel-candidate,AB 62,AB 12,,AB 52,16,,3,,"AB 01, AB 23, AB 52"
vowel-candidate,AB 07,AB 12,,AB 52,16,,2,,"AB 23, AB 52"
vowel-candidate,AB 44,AB 12,,AB 52,16,,3,,"AB 01, AB 52, AB 57"
vowel-candidate,AB 54,AB 12,,AB 52,16,,2,,"AB 01, AB 52"
vowel-candidate,AB 45,AB 12,,AB 52,16,,3,,"AB 01, AB 30, AB 52"
vowel-candidate,AB 58,AB 12,,AB 52,16,,1,,AB 52
vowel-candidate,AB 12,AB 79,,AB 52,16,,1,,AB 52
vowel-candidate,AB 12,AB 65,,AB 52,16,,5,,"AB 01, AB 23, AB 30, AB 52, AB 57"
vowel-candidate,AB 32,AB 10,,AB 06,16,,4,,"AB 06, AB 24, AB 49, AB 65"
vowel-candidate,AB 72,AB 23,,AB 36,16,,2,,"AB 13, AB 36"
vowel-candidate,AB 72,AB 62,,AB 36,16,,1,,AB 36
vowel-candidate,AB 76,AB 01,,AB 26,16,,1,,AB 26
vowel-candidate,AB 46,AB 90,,AB 85,16,,1,,AB 85
consonant-candidate,AB 01,AB 07,AB 56,,15,12,,"AB 01, AB 04, AB 06, AB 24, AB 29",
consonant-candidate,AB 49,AB 07,AB 56,,15,10,,"AB 01, AB 04, AB 07, AB 24, AB 36",
consonant-candidate,AB 26,AB 07,AB 56,,15,8,,"AB 01, AB 06, AB 07, AB 36, AB 38",
consonant-candidate,AB 01,AB 14,AB 24,,15,5,,"AB 01, AB 24, AB 26, AB 29, AB 36",
consonant-candidate,AB 49,AB 28,AB 24,,15,1,,AB 24,
consonant-candidate,AB 44,AB 26,AB 01,,15,5,,"AB 01, AB 30, AB 59, AB 66, AB 85",
consonant-candidate,AB 14,AB 26,AB 01,,15,3,,"AB 01, AB 09, AB 36",
consonant-candidate,AB 73,AB 26,AB 01,,15,5,,"AB 01, AB 30, AB 44, AB 66, AB 75",
consonant-candidate,AB 47,AB 26,AB 01,,15,4,,"AB 01, AB 09, AB 32, AB 59",
vowel-candidate,AB 56,AB 06,,AB 10,15,,16,,"AB 01, AB 06, AB 07, AB 08, AB 10"
vowel-candidate,AB 63,AB 06,,AB 10,15,,4,,"AB 01, AB 06, AB 10, AB 52"
vowel-candidate,AB 08,AB 06,,AB 10,15,,13,,"AB 01, AB 06, AB 10, AB 24, AB 29"
vowel-candidate,AB 59,AB 06,,AB 10,15,,12,,"AB 01, AB 06, AB 08, AB 10, AB 24"
vowel-candidate,AB 07,AB 06,,AB 10,15,,14,,"AB 07, AB 08, AB 10, AB 24, AB 26"
vowel-candidate,AB 03,AB 51,,AB 66,15,,10,,"AB 04, AB 08, AB 12, AB 24, AB 36"
vowel-candidate,AB 03,AB 66,,AB 66,15,,15,,"AB 04, AB 06, AB 08, AB 09, AB 24"
vowel-candidate,AB 03,AB 23,,AB 66,15,,10,,"AB 06, AB 08, AB 32, AB 36, AB 44"
vowel-candidate,AB 03,AB 09,,AB 66,15,,6,,"AB 08, AB 47, AB 49, AB 62, AB 65"
vowel-candidate,AB 03,AB 06,,AB 66,15,,10,,"AB 06, AB 08, AB 24, AB 32, AB 36"
vowel-candidate,AB 03,AB 57,,AB 66,15,,8,,"AB 04, AB 06, AB 08, AB 24, AB 36"
vowel-candidate,AB 03,AB 52,,AB 66,15,,8,,"AB 06, AB 08, AB 36, AB 44, AB 49"
vowel-candidate,AB 03,AB 32,,AB 66,15,,10,,"AB 06, AB 08, AB 24, AB 32, AB 47"
vowel-candidate,AB 30,AB 03,,AB 08,15,,9,,"AB 04, AB 06, AB 08, AB 09, AB 24"
vowel-candidate,AB 10,AB 57,,AB 06,15,,2,,"AB 06, AB 24"
vowel-candidate,AB 14,AB 66,,AB 24,15,,4,,"AB 24, AB 29, AB 32, AB 44"
vowel-candidate,AB 14,AB 08,,AB 24,15,,5,,"AB 24, AB 29, AB 32, AB 38, AB 59"
vowel-candidate,AB 49,AB 46,,AB 49,15,,2,,"AB 09, AB 49"
vowel-candidate,AB 23,AB 87,,AB 36,15,,1,,AB 36
vowel-candidate,AB 87,AB 62,,AB 36,15,,2,,"AB 29, AB 36"
vowel-candidate,AB 24,AB 05,,AB 01,15,,1,,AB 01
vowel-candidate,AB 24,AB 33,,AB 01,15,,1,,AB 01
vowel-candidate,AB 75,AB 01,,AB 26,15,,2,,"AB 26, AB 73"
vowel-candidate,AB 88,AB 48,,AB 73,15,,1,,AB 73
vowel-candidate,AB 29,AB 86,,AB 73,15,,2,,"AB 73, AB 86"
vowel-candidate,AB 75,AB 86,,AB 73,15,,1,,AB 73
consonant-candidate,AB 06,AB 12,AB 10,,14,5,,"AB 01, AB 03, AB 10, AB 26, AB 59",
consonant-candidate,AB 36,AB 07,AB 56,,14,11,,"AB 01, AB 04, AB 06, AB 07, AB 24",
consonant-candidate,AB 52,AB 07,AB 56,,14,10,,"AB 04, AB 06, AB 07, AB 22f, AB 24",
consonant-candidate,AB 34,AB 07,AB 56,,14,4,,"AB 04, AB 06, AB 56, AB 62",
consonant-candidate,AB 07,AB 92,AB 56,,14,1,,AB 56,
consonant-candidate,AB 07,AB 13,AB 56,,14,2,,"AB 24, AB 56",
consonant-candidate,AB 29,AB 03,AB 51,,14,9,,"AB 01, AB 04, AB 08, AB 26, AB 49",
consonant-candidate,AB 23,AB 44,AB 65,,14,5,,"AB 01, AB 22f, AB 30, AB 65, AB 66",
consonant-candidate,AB 66,AB 09,AB 03,,14,3,,"AB 03, AB 26, AB 66",
consonant-candidate,AB 66,AB 43,AB 03,,14,1,,AB 03,
consonant-candidate,AB 66,AB 37,AB 03,,14,1,,AB 03,
vowel-candidate,AB 73,AB 87,,AB 61,14,,2,,"AB 02, AB 61"
vowel-candidate,AB 24,AB 51,,AB 56,14,,12,,"AB 01, AB 03, AB 04, AB 08, AB 36"
vowel-candidate,AB 29,AB 64,,AB 66,14,,2,,"AB 36, AB 66"
vowel-candidate,AB 03,AB 65,,AB 66,14,,12,,"AB 04, AB 06, AB 08, AB 32, AB 44"
vowel-candidate,AB 03,AB 26,,AB 66,14,,14,,"AB 04, AB 06, AB 08, AB 09, AB 12"
vowel-candidate,AB 03,AB 01,,AB 66,14,,10,,"AB 06, AB 08, AB 12, AB 32, AB 36"
vowel-candidate,AB 03,AB 34,,AB 66,14,,6,,"AB 04, AB 24, AB 36, AB 49, AB 51"
vowel-candidate,AB 03,AB 54,,AB 66,14,,6,,"AB 08, AB 24, AB 32, AB 52, AB 65"
vowel-candidate,AB 62,AB 09,,AB 08,14,,5,,"AB 08, AB 26, AB 49, AB 62, AB 65"
vowel-candidate,AB 36,AB 03,,AB 08,14,,11,,"AB 04, AB 06, AB 08, AB 09, AB 24"
vowel-candidate,AB 45,AB 03,,AB 08,14,,8,,"AB 04, AB 08, AB 32, AB 44, AB 51"
vowel-candidate,AB 03,AB 08,,AB 52,14,,10,,"AB 04, AB 06, AB 09, AB 24, AB 32"
vowel-candidate,AB 08,AB 22f,,AB 52,14,,4,,"AB 09, AB 51, AB 52, AB 59"
vowel-candidate,AB 10,AB 04,,AB 06,14,,6,,"AB 01, AB 06, AB 24, AB 29, AB 49"
vowel-candidate,AB 72,AB 01,,AB 36,14,,2,,"AB 36, AB 59"
vowel-candidate,AB 72,AB 26,,AB 36,14,,2,,"AB 36, AB 59"
vowel-candidate,AB 76,AB 49,,AB 26,14,,1,,AB 26
vowel-candidate,AB 76,AB 34,,AB 26,14,,1,,AB 26
vowel-candidate,AB 88,AB 44,,AB 73,14,,1,,AB 73
vowel-candidate,AB 88,AB 30,,AB 73,14,,1,,AB 73
vowel-candidate,AB 88,AB 66,,AB 73,14,,1,,AB 73
