triple_id,total_connections,connections,sign_1,sign_2,sign_3,shared_following,shared_preceding,s1_in_uncertain,s2_in_uncertain,s3_in_uncertain,uncertain_count,sign_1_ml_pred,sign_2_ml_pred,sign_3_ml_pred,sign_1_ml_conf,sign_2_ml_conf,sign_3_ml_conf,sign_1_pos_init,sign_2_pos_init,sign_3_pos_init,sign_1_pos_fin,sign_2_pos_fin,sign_3_pos_fin,sign_1_total_occ,sign_2_total_occ,sign_3_total_occ
8083,3,"C,V,both",AB 26,AB 49,AB 45,"AB 06,AB 56,AB 62","AB 08,AB 63",False,True,True,2,,we,de,0.0,0.2994,0.3035,0.269,0.163,0.013,0.178,0.145,0.039,219,172,77
8633,3,"C,V,both",AB 29,AB 51,AB 30,"AB 06,AB 10,AB 52",AB 56,True,True,False,2,pu,du,,0.3253,0.2566,0.0,0.118,0.172,0.065,0.243,0.161,0.043,144,180,139
8694,3,"C,V,both",AB 30,AB 47,AB 36,"AB 02,AB 52,AB 57",AB 56,False,True,True,2,,ja,jo,0.0,0.2217,0.3901,0.065,0.131,0.363,0.043,0.082,0.324,139,61,333
9296,3,"C,V,both",AB 34,AB 62,AB 59,AB 56,"AB 50,AB 51,AB 66",False,True,True,2,,ta,ta,0.0,0.1386,0.0979,0.085,0.403,0.11,0.119,0.394,0.15,59,437,100
12183,3,"C,V,both",AB 66,AB 73,AB 77,"AB 30,AB 48,AB 59","AB 06,AB 24",True,True,False,2,ta,mi,,0.1687,0.0979,0.0,0.362,0.118,0.205,0.356,0.132,0.372,461,68,78
936,3,"C,V,both",AB 02,AB 23,AB 06,AB 56,AB 56,True,True,False,2,ro,mu,,0.3403,0.4072,0.0,0.337,0.074,0.044,0.441,0.074,0.088,279,94,159
1939,3,"C,V,both",AB 03,AB 75,AB 66,"AB 08,AB 29,AB 52","AB 26,AB 57,AB 66",False,True,True,2,,tu,ta,0.0,0.0674,0.1687,0.097,0.036,0.362,0.087,0.286,0.356,103,28,461
2949,3,"C,V,both",AB 04,AB 51,AB 52,"AB 07,AB 56",AB 56,False,True,True,2,,du,no,0.0,0.2566,0.2915,0.215,0.172,0.094,0.301,0.161,0.094,186,180,117
3586,3,"C,V,both",AB 06,AB 36,AB 14,"AB 24,AB 56","AB 24,AB 56",False,True,True,2,,jo,do,0.0,0.3901,0.4233,0.044,0.363,0.05,0.088,0.324,0.125,159,333,40
4700,3,"C,V,both",AB 08,AB 65,AB 52,AB 56,AB 56,False,True,True,2,,jo,no,0.0,0.2831,0.2915,0.435,0.092,0.094,0.081,0.058,0.094,209,120,117
