rank,bennett_id,proposed_value,conventional_value,confidence_score,assessment,n_place_names,place_names,n_attestations,n_variants,phonetic_consistency,observed_transliterations,site_distribution,reasons
34,AB 52,i,ra,39.0,LOW,3,"PHAISTOS, TYLISSOS, DIKTE",8,0,False,"{""RA"": 6, ""DA"": 1, ""TU"": 1}","{""Haghia Triada - Casa Room 7"": 2, ""Haghia Triada - Casa Room 9"": 1, ""Haghia Triada - Casa del Lebete"": 1, ""Khania"": 1, ""Syme"": 1, ""Palaikastro"": 1, ""Haghia Triada - Villa Magazine"": 1}","3 place names (+25); varied values {'tu', 'ka', 'i'} (+0); differs from AB grid /ra/→/i/ (+5); DB reads RA≠expected (+0); avg distance 1.00 (+5); 8 attestations (+4)"
35,AB 13,i,me,38.0,LOW,2,"PHAISTOS, TYLISSOS",4,0,False,"{""QA"": 1, ""me"": 2, ""RU"": 1}","{""Petras"": 1, ""Palaikastro"": 2, ""Haghia Triada - Casa Room 9"": 1}","2 place names (+18); 2 values {'tu', 'i'} (+10); differs from AB grid /me/→/i/ (+5); DB reads me≠expected (+0); avg distance 1.00 (+5)"
36,AB 10,pa,u,38.0,LOW,1,PHAISTOS,2,0,False,"{""PA"": 1, ""DU"": 1}","{""Palaikastro"": 2}","1 place name (+10); 2 values {'pa', 'i'} (+10); differs from AB grid /u/→/pa/ (+5); DB mostly reads expected value (+8); avg distance 1.00 (+5)"
37,AB 12,pa,so,36.0,LOW,2,"PHAISTOS, TYLISSOS",4,0,False,"{""PA"": 2, ""so"": 2}","{""Haghia Triada - Corridor 9 and Vestibule 26"": 1, ""Haghia Triada - Casa del Lebete"": 1, ""Zakros"": 2}","2 place names (+18); varied values {'pa', 'so', 'ri'} (+0); differs from AB grid /so/→/pa/ (+5); DB mostly reads expected value (+8); avg distance 1.00 (+5)"
38,AB 57,pa,tu,36.0,LOW,2,"PHAISTOS, TYLISSOS",3,0,False,"{""PA"": 1, ""SE"": 1, ""TU"": 1}","{""Haghia Triada - Casa del Lebete"": 1, ""Haghia Triada - Villa Magazine Room 5"": 1, ""Knossos"": 1}","2 place names (+18); varied values {'tu', 'pa', 'ri'} (+0); differs from AB grid /tu/→/pa/ (+5); DB mostly reads expected value (+8); avg distance 1.00 (+5)"
39,AB 05,i,to,35.0,LOW,2,"PHAISTOS, SETOIA",11,0,False,"{""DI"": 1, ""to"": 2, ""TO"": 4, ""JA"": 2, ""I"": 2}","{""Haghia Triada - Casa Room 7"": 1, ""Haghia Triada - Casa Room 9"": 1, ""Haghia Triada - Casa del Lebete"": 2, ""Kophinas"": 1, ""Zakros"": 1, ""Arkhalkhori"": 1, ""Knossos"": 2, ""Prassa"": 2}","2 place names (+18); varied values {'to', 'ja', 'i'} (+0); differs from AB grid /to/→/i/ (+5); DB reads TO≠expected (+0); avg distance 1.00 (+5); 11 attestations (+7)"
40,AB 36,i,jo,35.0,LOW,3,"PHAISTOS, TYLISSOS, IDA",3,0,False,"{""TA"": 2, ""SI"": 1}","{""Phaistos"": 1, ""Knossos"": 1, ""Khania"": 1}","3 place names (+25); varied values {'so', 'da', 'i'} (+0); differs from AB grid /jo/→/i/ (+5); DB reads TA≠expected (+0); avg distance 0.67 (+5)"
41,AB 66,i,ku,34.0,LOW,1,PHAISTOS,5,0,False,"{""KU"": 3, ""PA"": 1, ""PO"": 1}","{""Haghia Triada - Casa Room 7"": 1, ""Haghia Triada - Casa del Lebete"": 2, ""Knossos"": 2}","1 place name (+10); 2 values {'pa', 'i'} (+10); differs from AB grid /ku/→/i/ (+5); DB reads KU≠expected (+0); avg distance 1.00 (+5); 5 attestations (+4)"
42,AB 08,i,a,32.0,LOW,2,"PHAISTOS, TYLISSOS",7,0,False,"{""TO"": 1, ""PA"": 2, ""TU"": 1, ""KU"": 1, ""RI"": 2}","{""Khania"": 2, ""Knossos"": 1, ""Zakros"": 2, ""Haghia Triada - Casa Room 9"": 2}","2 place names (+18); varied values {'tu', 'pa', 'ri', 'i'} (+0); differs from AB grid /a/→/i/ (+5); DB reads PA≠expected (+0); avg distance 1.00 (+5); 7 attestations (+4)"
43,AB 30,i,ni,30.0,LOW,1,PHAISTOS,4,0,False,"{""SA"": 2, ""PA"": 1, ""ni"": 1}","{""Haghia Triada - Casa Room 7"": 1, ""Knossos"": 1, ""Kophinas"": 1, ""Arkhalkhori"": 1}","1 place name (+10); 2 values {'pa', 'i'} (+10); differs from AB grid /ni/→/i/ (+5); DB reads SA≠expected (+0); avg distance 1.00 (+5)"
44,AB 04,i,te,28.0,LOW,2,"PHAISTOS, SU-KI-RI-TA",4,0,False,"{""PA"": 1, ""TE"": 3}","{""Haghia Triada - Portico 11 and Room 13"": 1, ""Haghia Triada - Villa Magazine"": 1, ""Haghia Triada - Casa Room 7"": 1, ""Haghia Triada - Villa Magazine Room 5"": 1}","2 place names (+18); varied values {'ta', 'pa', 'i'} (+0); differs from AB grid /te/→/i/ (+5); DB reads TE≠expected (+0); avg distance 1.00 (+5)"
45,AB 23,i,mu,28.0,LOW,2,"PHAISTOS, TYLISSOS",3,0,False,"{""JA"": 1, ""RI"": 2}","{""Palaikastro"": 1, ""Haghia Triada - Casa Room 9"": 2}","2 place names (+18); varied values {'tu', 'ri', 'i'} (+0); differs from AB grid /mu/→/i/ (+5); DB reads RI≠expected (+0); avg distance 1.00 (+5)"
