egyptian_id,egyptian_english,egyptian_category,egyptian_subcategory,egyptian_skeleton,egyptian_class_str,gorila_id,site,material,period,object_type,match_sign_start,match_sign_end,match_length,matched_signs,matched_classes,source,commodities_nearby,commodity_context,score
bdt,emmer wheat,agriculture,grain,bdt,PTT,KNZf31,Knossos,metal,Uncertain,metal object,27,29,3,qa+ti+ta,PTT,conventional,,False,50.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,PH(?)31a,Phaistos,clay,Uncertain,tablet (page-shaped),8,10,3,pa+ta+da,PTT,conventional,,False,50.0
swt,wheat (swt),agriculture,grain,swt,SWT,KH74,Khania,clay,LM IB,tablet (page-shaped),0,2,3,si+ja+da,SWT,conventional,,False,50.0
swt,wheat (swt),agriculture,grain,swt,SWT,KN22a,Knossos,clay,Uncertain,Lames (short thin tablet),0,2,3,su+ju+ta,SWT,conventional,,False,50.0
swt,wheat (swt),agriculture,grain,swt,SWT,ZA4a,Zakros,stone,Uncertain,stone vessel,2,4,3,se+ja+to,SWT,conventional,,False,50.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,HT99b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),3,5,3,zu+du+ru,STR,conventional,,False,50.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,HT122a,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),15,17,3,si+da+re,STR,conventional,,False,50.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,HTWc3011,Haghia Triada,clay,LM IB,roundel,0,2,3,zu+di+ra,STR,conventional,,False,50.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,HTWc3012,Haghia Triada,clay,LM IB,roundel,0,2,3,zu+di+ra,STR,conventional,,False,50.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,KNZf13,Knossos,metal,LM IA,metal object,11,13,3,se+te+ri,STR,conventional,,False,50.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,KOZa1,Kophinas,stone,Uncertain,stone vessel,7,9,3,sa+du+re,STR,conventional,,False,50.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,PH2,Phaistos,clay,Uncertain,tablet (page-shaped),1,3,3,se+tu+ra,STR,conventional,,False,50.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,PH7a,Phaistos,clay,Uncertain,tablet (page-shaped),10,12,3,si+da+ra,STR,conventional,,False,50.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,PK1,Palaikastro,clay,LMI,tablet (page-shaped),5,7,3,za+ta+re,STR,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,HT4,Haghia Triada - Portico 11 and Room 13,clay,LM IB,tablet (page-shaped),3,5,3,re+du+te,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,HT7a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),11,13,3,re+te+tu,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,HT25a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),8,10,3,ri+ta+tu,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,HT49a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,ra+du+ta,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,HT86a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),7,9,3,ru+di+de,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,HT86b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),7,9,3,ru+di+de,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,HT88,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),23,25,3,ro+da+ta,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,HT123+124a,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),4,6,3,ro+da+tu,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,IOZa2,Iouktas,stone,Uncertain,stone vessel,24,26,3,ru+te+ta,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,KNZf31,Knossos,metal,Uncertain,metal object,23,25,3,ra+ti+di,RTT,conventional,,False,50.0
jrtt,milk,agriculture,food,rtt,RTT,PK1,Palaikastro,clay,LMI,tablet (page-shaped),7,9,3,re+ta+te,RTT,conventional,,False,50.0
nbw,gold,metals,precious,nbw,NPW,HT41a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),3,5,3,ni+pa+ja,NPW,conventional,,False,50.0
nbw,gold,metals,precious,nbw,NPW,HT88,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),17,19,3,nu+pa+ja,NPW,conventional,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT3,Haghia Triada - Portico 11 and Room 13,clay,LM IB,tablet (page-shaped),13,15,3,ne+di+da,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT13,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),5,7,3,ne+do+te,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT47a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),2,4,3,na+tu+du,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT85b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),13,15,3,ne+di+du,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT122b,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),12,14,3,me+di+da,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,IOZa2,Iouktas,stone,Uncertain,stone vessel,27,29,3,mu+te+te,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,IOZa11,Iouktas,stone,Uncertain,stone vessel,0,2,3,na+da+da,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,KNZa10,Knossos,stone,LM IA,stone vessel,8,10,3,ma+da+da,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,KNZc7,Knossos,,Uncertain,Inked inscription,16,18,3,ne+ti+ti,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,PEZg6,Petras,stone,Uncertain,Stone object,1,3,3,na+te+ta,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,PKZa11,Palaikastro,stone,Uncertain,stone vessel,11,13,3,ne+te+ti,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,PLZf1,Platanos,metal,Uncertain,metal object,12,14,3,me+ta+du,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,ZA10b,Zakros,stone,Uncertain,stone vessel,27,29,3,ne+te+du,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,ZA15a,Zakros,stone,Uncertain,stone vessel,19,21,3,ni+da+da,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,APZa2,Apodoulou,stone,Uncertain,stone vessel,18,20,3,na+te+ta,NTT,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,ARKH3a,Arkhalkhori,clay,Uncertain,tablet (page-shaped),3,5,3,nu+te+te,NTT,expanded,,False,50.0
Xtm,seal/seal-bearer,administrative,scribal,Xtm,KTN,PEZb3,Petras,pottery/ceramic,LM IB,Clay vessel,3,5,3,ki+du+na,KTN,expanded,,False,50.0
Xtm,seal/seal-bearer,administrative,scribal,Xtm,KTN,PH2,Phaistos,clay,Uncertain,tablet (page-shaped),6,8,3,ki+ti+mu,KTN,expanded,,False,50.0
dbn,deben (weight ~91g),administrative,metrology,dbn,TPN,HTWc3008,Haghia Triada,clay,LM IB,roundel,1,3,3,di+pu+mu,TPN,expanded,,False,50.0
dbn,deben (weight ~91g),administrative,metrology,dbn,TPN,PKZa16,Palaikastro,stone,Uncertain,stone vessel,1,3,3,to+pu+ne,TPN,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,HT8a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),13,15,3,ki+ne+du,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,HT20,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),7,9,3,ku+ne+di,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,HT47a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,ku+na+tu,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,HT88,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),1,3,3,ke+ne+do,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,HTWc3017,Haghia Triada,clay,LM IB,roundel,1,3,3,ku+ne+di,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,KNZc7,Knossos,,Uncertain,Inked inscription,1,3,3,ka+nu+do,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,TROZg2,Troy,stone,Uncertain,Stone object,0,2,3,ke+mi+du,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,ZA1a,Zakros,stone,Uncertain,stone vessel,0,2,3,ki+ne+do,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,ZA10a,Zakros,stone,Uncertain,stone vessel,20,22,3,ke+ne+do,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,ZA10b,Zakros,stone,Uncertain,stone vessel,1,3,3,ke+ne+do,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,ZA10b,Zakros,stone,Uncertain,stone vessel,26,28,3,ku+ne+te,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,ZA20,Zakros,stone,LM IB,stone vessel,1,3,3,ke+ne+do,KNT,expanded,,False,50.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,ARKH3a,Arkhalkhori,clay,Uncertain,tablet (page-shaped),2,4,3,ki+nu+te,KNT,expanded,,False,50.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT6a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,ka+pa+da,KPT,expanded,,False,50.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT6a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),12,14,3,ka+qe+da,KPT,expanded,,False,50.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),9,11,3,ke+pa+di,KPT,expanded,,False,50.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT16,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,ku+pa+di,KPT,expanded,,False,50.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT85b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),8,10,3,ka+pa+te,KPT,expanded,,False,50.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT104,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),8,10,3,ke+pa+da,KPT,expanded,,False,50.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT119,Haghia Triada - Casa Room 9,clay,LM IB,tablet (page-shaped),4,6,3,ku+pa+tu,KPT,expanded,,False,50.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,KH92,Khania,clay,Uncertain,tablet (page-shaped),3,5,3,ku+pu+te,KPT,expanded,,False,50.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,ARKH5,Arkhalkhori,clay,LM IB,tablet (page-shaped),1,3,3,ke+pu+du,KPT,expanded,,False,50.0
nfr,good/beautiful (quality grade),administrative,quality,nfr,NPR,HT122b,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),15,17,3,ne+po+ro,NPR,expanded,,False,50.0
rnp,year (dating),administrative,scribal,rnp,RNP,ZA10b,Zakros,stone,Uncertain,stone vessel,20,22,3,ro+ne+pa,RNP,expanded,,False,50.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT3,Haghia Triada - Portico 11 and Room 13,clay,LM IB,tablet (page-shaped),13,15,3,ma+di+da,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT7a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),8,10,3,na+ti+da,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT47a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),2,4,3,na+tu+du,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT94b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),6,8,3,ne+de+di,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HT104,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),5,7,3,ne+ti+du,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HTZd155,Haghia Triada,,LM IB,Graffito,4,6,3,ma+ti+ti,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,HTZd157+156,Haghia Triada,,LM IB,Graffito,3,5,3,ma+ti+ti,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,IOZa11,Iouktas,stone,Uncertain,stone vessel,0,2,3,na+da+da,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,KNZf31,Knossos,metal,Uncertain,metal object,3,5,3,ne+da+du,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,PEZg6,Petras,stone,Uncertain,Stone object,1,3,3,na+te+ta,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,TROZg1,Troy,stone,Uncertain,Stone object,1,3,3,mi+ta+ti,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,TROZg2,Troy,stone,Uncertain,Stone object,1,3,3,mi+ta+ti,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,ZA10b,Zakros,stone,Uncertain,stone vessel,27,29,3,ne+te+ta,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,ZA20,Zakros,stone,LM IB,stone vessel,4,6,3,mi+te+tu,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,ZA21a,Zakros,stone,Uncertain,stone vessel,2,4,3,ma+te+ta,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,ZAZb3,Zakros,stone,LM IB,stone vessel,17,19,3,na+ti+ti,NTT,conventional,,False,45.0
md't,document/papyrus roll,administrative,scribal,mDt,NTT,ARKH4a,Arkhalkhori,clay,Uncertain,tablet (page-shaped),0,2,3,ni+ta+ta,NTT,conventional,,False,45.0
Xtm,seal/seal-bearer,administrative,scribal,Xtm,KTN,HT29,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),12,14,3,ka+du+ma,KTN,conventional,,False,45.0
Xtm,seal/seal-bearer,administrative,scribal,Xtm,KTN,HT47a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),7,9,3,ki+da+nu,KTN,conventional,,False,45.0
Xtm,seal/seal-bearer,administrative,scribal,Xtm,KTN,KH60,Khania,clay,LM IB,tablet (page-shaped),1,3,3,ki+ta+na,KTN,conventional,,False,45.0
Xtm,seal/seal-bearer,administrative,scribal,Xtm,KTN,PEZb3,Petras,pottery/ceramic,LM IB,Clay vessel,3,5,3,ki+ta+na,KTN,conventional,,False,45.0
Xtm,seal/seal-bearer,administrative,scribal,Xtm,KTN,PKZb21,Palaikastro,pottery/ceramic,Uncertain,Clay vessel,0,2,3,ki+ta+ni,KTN,conventional,,False,45.0
dbn,deben (weight ~91g),administrative,metrology,dbn,TPN,HT3,Haghia Triada - Portico 11 and Room 13,clay,LM IB,tablet (page-shaped),10,12,3,di+pa+nu,TPN,conventional,,False,45.0
dbn,deben (weight ~91g),administrative,metrology,dbn,TPN,HT23a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),3,5,3,tu+qa+me,TPN,conventional,,False,45.0
dbn,deben (weight ~91g),administrative,metrology,dbn,TPN,HT122a,Haghia Triada - Casa del Lebete,clay,LM IB,tablet (page-shaped),21,23,3,de+pa+nu,TPN,conventional,,False,45.0
dbn,deben (weight ~91g),administrative,metrology,dbn,TPN,ZA14,Zakros,stone,LM IB,stone vessel,2,4,3,di+pu+ni,TPN,conventional,,False,45.0
dbn,deben (weight ~91g),administrative,metrology,dbn,TPN,APZa2,Apodoulou,stone,Uncertain,stone vessel,12,14,3,te+pi+mi,TPN,conventional,,False,45.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,HT47a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,ku+na+tu,KNT,conventional,,False,45.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,HT51b,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,ku+me+ta,KNT,conventional,,False,45.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,KH92,Khania,clay,Uncertain,tablet (page-shaped),3,5,3,ku+ni+te,KNT,conventional,,False,45.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,PKZa11,Palaikastro,stone,Uncertain,stone vessel,25,27,3,ka+na+ti,KNT,conventional,,False,45.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,ZA10b,Zakros,stone,Uncertain,stone vessel,26,28,3,ku+ne+te,KNT,conventional,,False,45.0
kmt,Egypt (Kemet),administrative,placename,kmt,KNT,ARKH3a,Arkhalkhori,clay,Uncertain,tablet (page-shaped),2,4,3,ki+nu+te,KNT,conventional,,False,45.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT6a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,ka+pa+da,KPT,conventional,,False,45.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT16,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,ku+pa+di,KPT,conventional,,False,45.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT85b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),8,10,3,ka+pa+te,KPT,conventional,,False,45.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,HT119,Haghia Triada - Casa Room 9,clay,LM IB,tablet (page-shaped),4,6,3,ku+pa+tu,KPT,conventional,,False,45.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,ZA14,Zakros,stone,LM IB,stone vessel,5,7,3,ka+qa+ti,KPT,conventional,,False,45.0
kftjw,Crete/Caphtor (Minoans),administrative,placename,kft,KPT,ZA14,Zakros,stone,LM IB,stone vessel,9,11,3,ku+pi+tu,KPT,conventional,,False,45.0
nfr,good/beautiful (quality grade),administrative,quality,nfr,NPR,HT96b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),3,5,3,ne+qa+ra,NPR,conventional,,False,45.0
rnp,year (dating),administrative,scribal,rnp,RNP,HT96b,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),2,4,3,ra+ne+qa,RNP,conventional,,False,45.0
