egyptian_id,egyptian_english,egyptian_category,egyptian_subcategory,egyptian_skeleton,egyptian_class_str,gorila_id,site,material,period,object_type,match_sign_start,match_sign_end,match_length,matched_signs,matched_classes,source,commodities_nearby,commodity_context,score
mnw,monument/gift (trade item),trade,goods,mnw,NNW,IOZa2,Iouktas,stone,Uncertain,stone vessel,22,24,3,ma+na+ju,NNW,expanded,,False,60.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,KH88,Khania,clay,Uncertain,tablet (page-shaped),0,2,3,me+nu+ju,NNW,expanded,,False,60.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,KNZf13,Knossos,metal,LM IA,metal object,1,3,3,ne+ne+jo,NNW,expanded,,False,60.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,KNZf31,Knossos,metal,Uncertain,metal object,9,11,3,mi+na+wi,NNW,expanded,,False,60.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,PKZa12,Palaikastro,stone,Uncertain,stone vessel,21,23,3,na+mu+ja,NNW,expanded,,False,60.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,SYZa3,Syme,stone,LM IA,stone vessel,7,9,3,na+na+jo,NNW,expanded,,False,60.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,TLZa1,Troullos,stone,Uncertain,stone vessel,7,9,3,me+ne+ja,NNW,expanded,,False,60.0
mnw,monument/gift (trade item),trade,goods,mnw,NNW,TLZa1,Troullos,stone,Uncertain,stone vessel,21,23,3,ma+na+ju,NNW,expanded,,False,60.0
p^qt,fine linen (pq),commodities,textile,pQt,PKT,HT41a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,qe+ke+da,PKT,expanded,,False,60.0
p^qt,fine linen (pq),commodities,textile,pQt,PKT,HT85a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),11,13,3,pu+ke+da,PKT,expanded,,False,60.0
p^qt,fine linen (pq),commodities,textile,pQt,PKT,TY2,Tylissos,clay,Uncertain,tablet (page-shaped),1,3,3,pa+ki+da,PKT,expanded,,False,60.0
twt,statue/image (trade object),commodities,art,twt,TWT,HT34,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),0,2,3,da+wa+te,TWT,expanded,,False,60.0
twt,statue/image (trade object),commodities,art,twt,TWT,HT97a,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),11,13,3,di+wa+ti,TWT,expanded,,False,60.0
twt,statue/image (trade object),commodities,art,twt,TWT,KNZa10,Knossos,stone,LM IA,stone vessel,11,13,3,du+wa+to,TWT,expanded,,False,60.0
twt,statue/image (trade object),commodities,art,twt,TWT,KYZa2,Kythera,stone,Uncertain,stone vessel,0,2,3,da+ju+te,TWT,expanded,,False,60.0
twt,statue/image (trade object),commodities,art,twt,TWT,PLZf1,Platanos,metal,Uncertain,metal object,0,2,3,ta+wi+ti,TWT,expanded,,False,60.0
twt,statue/image (trade object),commodities,art,twt,TWT,PSZa2,Psykhro,stone,Uncertain,stone vessel,5,7,3,ti+ja+ti,TWT,expanded,,False,60.0
twt,statue/image (trade object),commodities,art,twt,TWT,ZA21a,Zakros,stone,Uncertain,stone vessel,3,5,3,te+ju+ta,TWT,expanded,,False,60.0
twt,statue/image (trade object),commodities,art,twt,TWT,ARZf1,Arkhalkhori,metal,Uncertain,metal object,1,3,3,da+ju+te,TWT,expanded,,False,60.0
twt,statue/image (trade object),commodities,art,twt,TWT,ARZf2,Arkhalkhori,metal,Uncertain,metal object,1,3,3,da+ju+te,TWT,expanded,,False,60.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HT6a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,pa+da+du,PTT,expanded,,False,55.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HT6a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),6,8,3,pu+ti+du,PTT,expanded,,False,55.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,HTZb160,Haghia Triada,pottery/ceramic,LM IB,Clay vessel,0,2,3,pa+du+da,PTT,expanded,,False,55.0
bdt,emmer wheat,agriculture,grain,bdt,PTT,ZA8,Zakros,stone,LM IB,stone vessel,12,14,3,pu+du+du,PTT,expanded,,False,55.0
swt,wheat (swt),agriculture,grain,swt,SWT,KH74,Khania,clay,LM IB,tablet (page-shaped),0,2,3,si+ja+da,SWT,expanded,,False,55.0
swt,wheat (swt),agriculture,grain,swt,SWT,KNZf31,Knossos,metal,Uncertain,metal object,2,4,3,za+jo+da,SWT,expanded,,False,55.0
swt,wheat (swt),agriculture,grain,swt,SWT,PKZb19,Palaikastro,pottery/ceramic,Uncertain,Clay vessel,0,2,3,se+jo+du,SWT,expanded,,False,55.0
swt,wheat (swt),agriculture,grain,swt,SWT,ZA4a,Zakros,stone,Uncertain,stone vessel,2,4,3,se+ja+to,SWT,expanded,,False,55.0
swt,wheat (swt),agriculture,grain,swt,SWT,ZA6a,Zakros,stone,Uncertain,stone vessel,2,4,3,sa+wa+te,SWT,expanded,,False,55.0
swt,wheat (swt),agriculture,grain,swt,SWT,ZA20,Zakros,stone,LM IB,stone vessel,13,15,3,se+ju+du,SWT,expanded,,False,55.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,HTWc3011,Haghia Triada,clay,LM IB,roundel,0,2,3,zu+di+ra,STR,expanded,,False,55.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,HTWc3012,Haghia Triada,clay,LM IB,roundel,0,2,3,zu+di+ra,STR,expanded,,False,55.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,KNZf13,Knossos,metal,LM IA,metal object,11,13,3,se+te+ri,STR,expanded,,False,55.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,PRZa1,Prassa,stone,LM IA,stone vessel,5,7,3,se+to+ru,STR,expanded,,False,55.0
SDr,wine (šdḥ type),beverages,wine,SDr,STR,THEtab.5,Thera,clay,Uncertain,tablet (page-shaped),1,3,3,so+da+ru,STR,expanded,,False,55.0
jrtt,milk,agriculture,food,rtt,RTT,HT10a,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),10,12,3,ru+da+da,RTT,expanded,,False,55.0
jrtt,milk,agriculture,food,rtt,RTT,HT25b,Haghia Triada - Villa Magazine,clay,LM IB,tablet (page-shaped),1,3,3,ro+ti+te,RTT,expanded,,False,55.0
jrtt,milk,agriculture,food,rtt,RTT,HT87,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),4,6,3,ri+te+ti,RTT,expanded,,False,55.0
jrtt,milk,agriculture,food,rtt,RTT,HT88,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),23,25,3,ro+da+du,RTT,expanded,,False,55.0
jrtt,milk,agriculture,food,rtt,RTT,HT109,Haghia Triada - Casa Room 7,clay,LM IB,tablet (page-shaped),0,2,3,re+ta+du,RTT,expanded,,False,55.0
