sign_id,degree_centrality,betweenness_centrality,pagerank,clustering_coefficient
AB 33,0.338912,0.002257,0.002691,0.717901
AB 34,0.376569,0.002236,0.003352,0.759301
AB 35,0.309623,0.001086,0.002674,0.827842
AB 36,0.594142,0.013719,0.008978,0.566876
AB 37,0.280335,0.000208,0.001962,0.929896
AB 38,0.443515,0.003392,0.003777,0.717700
AB 39,0.255230,0.000394,0.001365,0.875956
AB 40,0.138075,0.000043,0.000933,0.956439
AB 42,0.146444,0.000063,0.000831,0.944538
AB 43,0.439331,0.003607,0.004214,0.710989
AB 44,0.527197,0.015045,0.007898,0.597841
AB 45,0.552301,0.009341,0.009210,0.603979
AB 46,0.347280,0.004657,0.002872,0.785483
AB 47,0.460251,0.004501,0.005204,0.685405
AB 48,0.569038,0.011228,0.005796,0.572985
AB 49,0.535565,0.009268,0.009230,0.596334
AB 50,0.506276,0.011169,0.007986,0.605372
AB 51,0.669456,0.020468,0.011871,0.497563
AB 52,0.623431,0.021094,0.009650,0.536913
AB 53,0.238494,0.002450,0.002163,0.872807
AB 54,0.456067,0.006161,0.004949,0.654944
AB 55,0.309623,0.001380,0.002759,0.824139
AB 56,0.686192,0.022075,0.011944,0.491995
AB 57,0.535565,0.009145,0.007811,0.629060
AB 58,0.347280,0.002399,0.003141,0.739348
AB 59,0.489540,0.010915,0.008249,0.641173
AB 60,0.062762,0.000000,0.001238,1.000000
AB 61,0.606695,0.015322,0.004429,0.544253
AB 62,0.669456,0.024221,0.012986,0.495676
AB 63,0.514644,0.007500,0.006231,0.635879
AB 64,0.397490,0.002484,0.003839,0.748936
AB 65,0.606695,0.016989,0.010260,0.527778
AB 66,0.723849,0.030890,0.012763,0.453085
AB 68,0.121339,0.000614,0.001032,0.802956
AB 69,0.326360,0.000967,0.003208,0.822511
AB 70,0.033473,0.000000,0.001320,1.000000
AB 71,0.472803,0.006046,0.004765,0.654077
AB 72,0.380753,0.009166,0.004549,0.676190
AB 73,0.581590,0.016206,0.005526,0.543322
AB 75,0.372385,0.002713,0.004687,0.768131
AB 76,0.280335,0.001954,0.001396,0.789688
AB 77,0.514644,0.010806,0.009443,0.608823
AB 80,0.062762,0.000000,0.000955,1.000000
AB 83,0.322176,0.006031,0.003670,0.719412
AB 85,0.292887,0.001210,0.003091,0.821118
AB 86,0.330544,0.001373,0.003057,0.806881
AB 87,0.389121,0.002563,0.004154,0.727443
AB 88,0.410042,0.003030,0.005604,0.738271
AB 89,0.422594,0.005225,0.004053,0.688119
AB 90,0.351464,0.002017,0.004301,0.789730
AB 91,0.276151,0.000797,0.001406,0.825175
AB 92,0.334728,0.001454,0.003341,0.777532
AB 96,0.317992,0.000776,0.001840,0.857193
AB 98,0.230126,0.000256,0.002044,0.911785
MET A,0.355649,0.001214,0.004426,0.809524
MET D,0.209205,0.000316,0.001417,0.863673
MET E,0.380753,0.001658,0.004667,0.783394
MET F,0.062762,0.000000,0.000932,1.000000
MET G,0.050209,0.000001,0.002210,0.984848
MET H,0.146444,0.000097,0.001338,0.921008
MET J,0.016736,0.000000,0.000956,1.000000
N,0.012552,0.000000,0.000639,1.000000
NUM 1,0.175732,0.000145,0.002205,0.924506
NUM 10,0.167364,0.000470,0.001687,0.858974
NUM 100,0.138075,0.000099,0.001903,0.916667
NUM 1000,0.058577,0.000000,0.000956,1.000000
NUM 10000,0.058577,0.000000,0.000956,1.000000
VASE 1,0.351464,0.001541,0.005128,0.784567
VASE 10,0.309623,0.002687,0.004226,0.745650
VASE 12,0.112971,0.000187,0.001549,0.849003
VASE 2,0.414226,0.003677,0.004482,0.701093
VASE 3,0.435146,0.005634,0.006232,0.650859
VASE 4,0.573222,0.021782,0.010108,0.562044
VASE 5,0.410042,0.003948,0.004172,0.702714
VASE 6,0.443515,0.004158,0.005431,0.684996
VASE 7,0.644351,0.017657,0.014722,0.524149
VASE 8,0.422594,0.014891,0.009219,0.640000
e,0.012552,0.000000,0.002037,1.000000
