n,chunk,n_inscriptions,inscriptions
4,AB 30 AB 52 AB 12 AB 10,5,IOZa16;IOZa2;IOZa9;PKZa11;PKZa27
4,AB 52 AB 12 AB 10 AB 06,5,IOZa16;IOZa2;IOZa9;PKZa11;PKZa27
3,AB 46 AB 49 AB 49,5,IOZa2;IOZa7;SYZa2;SYZa4;SYZa8
3,AB 52 AB 12 AB 10,5,IOZa16;IOZa2;IOZa9;PKZa11;PKZa27
3,AB 12 AB 10 AB 06,5,IOZa16;IOZa2;IOZa9;PKZa11;PKZa27
3,AB 26 AB 34 AB 06,5,IOZa15;IOZa2;KOZa1;PKZa10;PKZa11
3,AB 36 AB 23 AB 04,5,IOZa14;IOZa15;IOZa2;KOZa1;SYZa3
2,AB 07 AB 56,5,IOZa2;PKZa11;PKZa12;PKZa15;PKZa8
2,AB 12 AB 10,5,IOZa16;IOZa2;IOZa9;PKZa11;PKZa27
2,AB 34 AB 06,5,IOZa15;IOZa2;KOZa1;PKZa10;PKZa11
2,AB 23 AB 04,5,IOZa14;IOZa15;IOZa2;KOZa1;SYZa3
6,AB 49 AB 30 AB 30 AB 52 AB 12 AB 10,4,IOZa16;IOZa2;IOZa9;PKZa27
3,AB 36 AB 26 AB 34,4,IOZa2;KOZa1;PKZa10;PKZa8
3,AB 07 AB 56 AB 04,4,PKZa11;PKZa12;PKZa15;PKZa8
2,AB 36 AB 26,4,IOZa2;KOZa1;PKZa10;PKZa8
2,AB 51 AB 06,4,ARKH5;IOZa2;IOZa6;PRZa1
2,AB 26 AB 49,4,IOZa5;PKZa14;PKZa8;PRZa1
2,AB 49 AB 03,4,IOZa5;PKZa11;PKZa12;SYZa9
2,AB 56 AB 04,4,PKZa11;PKZa12;PKZa15;PKZa8
2,AB 28 AB 24,4,PKZa15;PKZa16;PKZa28;PKZa8
6,AB 30 AB 52 AB 12 AB 10 AB 06 AB 62,3,IOZa2;IOZa9;PKZa27
6,AB 52 AB 12 AB 10 AB 06 AB 62 AB 06,3,IOZa2;IOZa9;PKZa27
6,AB 12 AB 10 AB 06 AB 62 AB 06 AB 36,3,IOZa2;IOZa9;PKZa27
6,AB 10 AB 06 AB 62 AB 06 AB 36 AB 26,3,IOZa2;KOZa1;PKZa8
6,AB 06 AB 62 AB 06 AB 36 AB 26 AB 34,3,IOZa2;KOZa1;PKZa8
6,AB 26 AB 34 AB 06 AB 65 AB 36 AB 23,3,IOZa15;IOZa2;KOZa1
6,AB 34 AB 06 AB 65 AB 36 AB 23 AB 04,3,IOZa15;IOZa2;KOZa1
5,AB 52 AB 12 AB 10 AB 06 AB 62,3,IOZa2;IOZa9;PKZa27
5,AB 12 AB 10 AB 06 AB 62 AB 06,3,IOZa2;IOZa9;PKZa27
5,AB 06 AB 62 AB 06 AB 36 AB 26,3,IOZa2;KOZa1;PKZa8
5,AB 62 AB 06 AB 36 AB 26 AB 34,3,IOZa2;KOZa1;PKZa8
5,AB 26 AB 34 AB 06 AB 65 AB 36,3,IOZa15;IOZa2;KOZa1
5,AB 34 AB 06 AB 65 AB 36 AB 23,3,IOZa15;IOZa2;KOZa1
5,AB 06 AB 65 AB 36 AB 23 AB 04,3,IOZa15;IOZa2;KOZa1
4,AB 12 AB 10 AB 06 AB 62,3,IOZa2;IOZa9;PKZa27
4,AB 62 AB 06 AB 36 AB 26,3,IOZa2;KOZa1;PKZa8
4,AB 06 AB 36 AB 26 AB 34,3,IOZa2;KOZa1;PKZa8
4,AB 36 AB 26 AB 34 AB 06,3,IOZa2;KOZa1;PKZa10
4,AB 26 AB 34 AB 06 AB 65,3,IOZa15;IOZa2;KOZa1
4,AB 34 AB 06 AB 65 AB 36,3,IOZa15;IOZa2;KOZa1
4,AB 06 AB 65 AB 36 AB 23,3,IOZa15;IOZa2;KOZa1
4,AB 65 AB 36 AB 23 AB 04,3,IOZa15;IOZa2;KOZa1
4,AB 10 AB 32 AB 47 AB 26,3,IOZa11;IOZa2;IOZa6
4,AB 10 AB 06 AB 23 AB 62,3,IOZa16;PKZa11;PKZa12
4,AB 07 AB 56 AB 04 AB 04,3,PKZa11;PKZa15;PKZa8
3,AB 49 AB 07 AB 56,3,IOZa2;PKZa15;PKZa8
3,AB 06 AB 36 AB 26,3,IOZa2;KOZa1;PKZa8
3,AB 34 AB 06 AB 65,3,IOZa15;IOZa2;KOZa1
3,AB 06 AB 65 AB 36,3,IOZa15;IOZa2;KOZa1
3,AB 65 AB 36 AB 23,3,IOZa15;IOZa2;KOZa1
3,AB 10 AB 32 AB 47,3,IOZa11;IOZa2;IOZa6
3,AB 32 AB 47 AB 26,3,IOZa11;IOZa2;IOZa6
3,AB 10 AB 06 AB 23,3,IOZa16;PKZa11;PKZa12
3,AB 06 AB 23 AB 62,3,IOZa16;PKZa11;PKZa12
3,AB 08 AB 30 AB 30,3,PKZa11;PKZa4;PRZa1
3,AB 56 AB 04 AB 04,3,PKZa11;PKZa15;PKZa8
2,AB 49 AB 07,3,IOZa2;PKZa15;PKZa8
2,AB 06 AB 65,3,IOZa15;IOZa2;KOZa1
2,AB 65 AB 36,3,IOZa15;IOZa2;KOZa1
2,AB 10 AB 32,3,IOZa11;IOZa2;IOZa6
2,AB 32 AB 47,3,IOZa11;IOZa2;IOZa6
2,AB 47 AB 26,3,IOZa11;IOZa2;IOZa6
2,AB 49 AB 26,3,IOZa5;SYZa1;SYZa4
2,AB 26 AB 06,3,IOZa11;IOZa6;PKZa11
2,AB 12 AB 26,3,IOZa12;PKZa14;PKZa8
2,AB 06 AB 23,3,IOZa16;PKZa11;PKZa12
2,AB 23 AB 62,3,IOZa16;PKZa11;PKZa12
2,AB 08 AB 30,3,PKZa11;PKZa4;PRZa1
2,AB 04 AB 04,3,PKZa11;PKZa15;PKZa8
2,AB 22f AB 08,3,ARKH1a;ARKH4a;PKZa11
