rank,morphology_score,entropy_score,prefix_score,total_score,num_resolved,sample_values
1,0.2660,0.0000,0.3958,0.2401,80,"{'AB 16': 'ke', 'AB 19': 'di', 'AB 20': 'pe', 'AB 21F': 'no', 'AB 37': 'du'}"
2,0.2468,0.0000,0.3750,0.2313,80,"{'AB 16': 'a', 'AB 19': 'wo', 'AB 20': 'qo', 'AB 21F': 'no', 'AB 37': 'tu'}"
3,0.2468,0.0000,0.3750,0.2313,80,"{'AB 16': 'a', 'AB 19': 'wo', 'AB 20': 'qo', 'AB 21F': 'no', 'AB 37': 'tu'}"
4,0.2468,0.0000,0.3750,0.2313,80,"{'AB 16': 'a', 'AB 19': 'wo', 'AB 20': 'qo', 'AB 21F': 'no', 'AB 37': 'tu'}"
5,0.2468,0.0000,0.3750,0.2313,80,"{'AB 16': 'a', 'AB 19': 'wo', 'AB 20': 'qo', 'AB 21F': 'no', 'AB 37': 'tu'}"
6,0.2468,0.0000,0.3750,0.2313,80,"{'AB 16': 'a', 'AB 19': 'wo', 'AB 20': 'qo', 'AB 21F': 'no', 'AB 37': 'tu'}"
7,0.2468,0.0000,0.3750,0.2313,80,"{'AB 16': 'a', 'AB 19': 'wo', 'AB 20': 'qo', 'AB 21F': 'no', 'AB 37': 'tu'}"
8,0.2468,0.0000,0.3750,0.2313,80,"{'AB 16': 'a', 'AB 19': 'wo', 'AB 20': 'qo', 'AB 21F': 'no', 'AB 37': 'tu'}"
9,0.2468,0.0000,0.3750,0.2313,80,"{'AB 16': 'a', 'AB 19': 'wo', 'AB 20': 'qo', 'AB 21F': 'no', 'AB 37': 'tu'}"
10,0.2468,0.0000,0.3750,0.2313,80,"{'AB 16': 'a', 'AB 19': 'wo', 'AB 20': 'qo', 'AB 21F': 'no', 'AB 37': 'tu'}"
