model,perplexity,nn_accuracy,logogram_accuracy
multitask,25.888335697936665,0.9275362491607666,0.9295774647887324
singletask_lm,30.2321343126756,0.8550724387168884,0.6056338028169014
singletask_phonetic,389.28901434603586,0.9033816456794739,0.2112676056338028
singletask_logogram,437.43320905480607,0.8743961453437805,0.9295774647887324
