gorila_id,inscription_id,num_signs,num_words,segmented_text,ground_truth_boundaries,predicted_boundaries,confidence
ARMZg1,1675,1,1,𐜈,[],[],0.0000
ARZf1,1660,4,1,𐘚𐘀𐙁𐘃,[],[],0.0000
ARZf2,1661,5,1,𐘚𐘀𐙁𐘃𐝫,[],[],0.0000
CR(?)Zf1,1676,22,5,𐘇𐙁𐘮𐘤𐄁 | 𐘾𐘝𐘱𐘻𐄁 | 𐘚𐘱𐄁 | 𐘌𐘸𐘈𐘯𐘠𐄁 | 𐘇𐘳𐘦,"[4, 9, 12, 18]","[4, 9, 12, 18]",1.0000
CRZf5,1677,1,1,𐘱,[],[],0.0000
CRZg3,1678,6,1,𐙍𐝫≈𐘝≈𐛿,[],[],0.0000
CRZg4,1679,6,1,𐘚𐘀𐘀𐘇𐘁𐘃,[],[],0.0000
DRAZg1,1702,4,1,𐘀𐘬𐙕𐝫,[],[],0.0000
FOZc1,1680,3,1,𐙚𐘳𐘧,[],[],0.0000
GO2r,1681,18,2,𐝫𐘤𐝫𐘾𐝄𐘤𐄈𐘀𐝫 | 𐘤𐘀𐘁𐝃𐝫𐝫𐘈𐝫𐝫,[],[8],0.7500
GO2v,1682,13,1,𐝫𐄇𐝄𐘀𐝫𐘙𐄇𐝫𐘈𐘤𐝫𐝫𐝫,[],[],0.0000
GOWc1a,1683,6,1,𐘇𐘞𐘲𐙁𐘚𐘈,[],[],0.0000
GOWc1b,1684,2,1,𐘖𐄋,[],[],0.0000
