SECTION,CV_TYPE_FREQUENCIES
cv_type,count,fraction
?,1,0.000174
other:C CV CV,25
CV CV other:CCCVC,25
CV CCV,25
complex CV CVC,24
complex V,23
CV CV CV other:CCCC,23
CVC complex CV,22
V CV CVC,22
other:CCC CV,22
CV CVC CVC CV,22
CVC CVC CV CV,21
CVC CV other:CCCC,21
CV CVC V,20
CVC V CV,20
complex CVC CV,20
V other:C,20
V CVC CV CV,19
other:CCCVC CV CV CV,19
CV other:C CV,19
V V,18
V complex,18
CVC complex CV CV,18
complex complex,18
CV other:CCCC CV CV,18
CVC CCV,18
V CV V,18
CV complex CVC,17
other:C CV CV CV,17
CV CV other:CCCC CV,17
other:CCCC CV CV CV,17
CV V CVC CV,17
CV CV CVC CVC,17
CV CV CCV,17
CCV CV,17
other:CCCC CVC,16
CVC other:CCCC,16
CVC other:CCCVC,16
CVC CV V,16
other:C CVC,16
CVC V CV CV,15
other:CCCC other:CCCVC,15
V CVC CV other:CCCC,15
CV CV CVC complex,14

SECTION,SIGN_CV_MAPPING
bennett_id,cv_structure
AB 01,CV
AB 02,CV
AB 03,CV
AB 04,CV
AB 05,CV
AB 06,CV
AB 07,CV
AB 08,V
AB 09,CV
AB 10,V
AB 102,other:CCCC
AB 103,other:CCCC
AB 104,other:CCCCC
AB 105,other:CCCC
AB 106,other:CCCC
AB 107,other:CCCC
AB 108,other:CCCC
AB 109,other:CCCC
AB 11,CV
AB 110,other:C
AB 111,other:CCCC
AB 112,other:CCCC
AB 113,CV
AB 114,other:CCCC
AB 115,other:CC
AB 116,other:CCC
AB 117,other:CCCC
AB 119,other:CCCC
AB 12,CV
AB 121,other:CCCC
AB 122,VV
AB 123,other:CCCC
AB 124,other:CCC
AB 126,other:CCCC
AB 127,other:CCCC
AB 13,CV
AB 130,other:CCCC
AB 131,CV
AB 132,other:CCCC
AB 133,other:CCCC
AB 134,other:CCCC
AB 135,CV
AB 136,other:CC
AB 137,other:CCCCV
AB 14,CV
AB 15,CV
AB 16,CV
AB 17,CV
AB 18,CV
AB 19,other:CCCVC
AB 20,CVC
AB 21,CV
AB 21f,CVC
AB 22,CV
AB 22f,CVC
AB 23,CV
AB 24,CV
AB 26,CV
AB 27,CV
AB 28,V
AB 29,CV
AB 30,CV
AB 31,CV
AB 32,CV
AB 33,CVC
AB 34,complex
