rank,bennett_id,transliteration,phonetic_class,total_followers,total_preceders,follower_entropy,max_follower_entropy,class_mean_follower_entropy,entropy_divergence,overlap_vs_class_expectation,cross_class_affinity,most_similar_other_class,disruption_score,num_anomalous_followers,anomalous_followers,expected_top_followers,actual_top_followers
31,AB 10,u,V,32,28,4.488517,5.000000,4.005405,0.120585,1.000000,0.604938,CV,0.229715,8,AB 32; AB 38; AB 113; AB 31; AB 42,AB 51; AB 44; AB 06; AB 24; AB 52,AB 06; AB 32; AB 38; AB 113; AB 31
32,AB 11,si,CV,7,6,2.750000,2.807355,3.328207,0.173677,0.625000,0.116838,V,0.217022,6,AB 05; AB 60; AB 23; AB 08; AB 07,AB 66; AB 30; AB 49; AB 36; AB 04,AB 05; AB 60; AB 23; AB 08; AB 07
33,AB 31,sa,CV,6,5,2.405639,2.584963,3.328207,0.277113,0.750000,0.103093,V,0.216773,3,AB 32; AB 43; AB 54,AB 66; AB 30; AB 49; AB 36; AB 04,AB 36; AB 66; AB 04; AB 32; AB 43
34,AB 13,me,CV,18,23,3.885246,4.169925,3.328207,0.167319,0.804878,0.295533,V,0.214124,9,AB 72; AB 96; AB 32; AB 13; AB 23,AB 66; AB 30; AB 49; AB 36; AB 04,AB 72; AB 96; AB 32; AB 13; AB 23
35,AB 12,so,CV,22,15,4.154871,4.459432,3.328207,0.248307,1.000000,0.374570,V,0.211694,6,AB 10; AB 59; AB 14; AB 03; AB 07,AB 66; AB 30; AB 49; AB 36; AB 04,AB 10; AB 59; AB 51; AB 26; AB 14
36,AB 69,tu,CV,7,7,2.550341,2.807355,3.328207,0.233649,0.909091,0.233677,V,0.190835,4,AB 02; AB 62; AB 24; AB 89,AB 66; AB 30; AB 49; AB 36; AB 04,AB 02; AB 36; AB 62; AB 24; AB 89
37,AB 40,wi,CV,6,7,2.500000,2.584963,3.328207,0.248770,0.875000,0.134021,V,0.177214,4,AB 63; AB 47; AB 06; AB 08,AB 66; AB 30; AB 49; AB 36; AB 04,AB 66; AB 63; AB 47; AB 06; AB 04
38,AB 38,e,V,22,19,4.256565,4.459432,4.005405,0.062690,0.933333,0.403479,CV,0.166120,7,AB 08; AB 14; AB 90; AB 47; AB 65,AB 51; AB 44; AB 06; AB 24; AB 52,AB 08; AB 23; AB 59; AB 14; AB 90
39,AB 05,to,CV,12,12,3.375000,3.584963,3.328207,0.014055,0.750000,0.192440,V,0.138354,5,AB 07; AB 20; AB 137; AB 12; AB 42,AB 66; AB 30; AB 49; AB 36; AB 04,AB 26; AB 66; AB 07; AB 20; AB 137
40,AB 35,ti,CV,13,17,3.584184,3.700440,3.328207,0.076888,1.000000,0.281787,V,0.115291,5,AB 07; AB 44; AB 85; AB 73; AB 06,AB 66; AB 30; AB 49; AB 36; AB 04,AB 04; AB 07; AB 26; AB 30; AB 49
41,AB 55,nu,CV,12,11,3.452820,3.584963,3.328207,0.037430,0.937500,0.268041,V,0.114134,7,AB 73; AB 63; AB 29; AB 08; AB 88,AB 66; AB 30; AB 49; AB 36; AB 04,AB 73; AB 63; AB 30; AB 29; AB 08
42,AB 53,ri,CV,10,12,3.277613,3.321928,3.328207,0.015197,0.909091,0.250859,V,0.108609,7,AB 59; AB 61; AB 32; AB 07; AB 21,AB 66; AB 30; AB 49; AB 36; AB 04,AB 59; AB 61; AB 32; AB 01; AB 07
43,AB 17,za,CV,10,13,3.003702,3.321928,3.328207,0.097472,1.000000,0.216495,V,0.103937,7,AB 57; AB 72; AB 45; AB 22f; AB 77,AB 66; AB 30; AB 49; AB 36; AB 04,AB 57; AB 72; AB 45; AB 22f; AB 30
