bennett_id,status,initial_fraction,medial_fraction,final_fraction,total_occurrences
AB 85,UNCERTAIN,0.4685,0.0610,0.4705,508
AB 60,UNCERTAIN,0.4946,0.0000,0.5054,93
AB 80,UNCERTAIN,0.5000,0.0357,0.4643,28
AB 82,UNCERTAIN,0.4375,0.0000,0.5625,16
AB 22,CONFIRMED,0.2222,0.1111,0.6667,9
AB 110,UNCERTAIN,0.4286,0.1429,0.4286,7
AB 16,UNCERTAIN,0.6000,0.0000,0.4000,5
