la_bennett_id,inscription_id,gorila_id,sequence,character,findspot,period,object_type,syllabograms_before,syllabograms_after,chars_before,chars_after,nearby_numbers,nearby_fractions,all_inscription_logograms,pattern_frequency,morphology_cross_reference
VASE 7,164,HT126a,15,𐝆,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"
 U ¹⁄₂ 
 DI","
 U *49 1 
",𐝫 𐄇 𐘉 𐝫 𐝫,𐘤 𐘆 𐘱 𐄇 𐝫,1; 0.5; 1,,VASE 7,,
A 500,166,HT127a,8,𐜝,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"MI 1 
 *304+PA *47",1 wi ta? 𐄇,𐘗 𐘻 𐄇 𐝫 𐝫,𐘀 𐘨 𐙂 𐄇,1; 1; 1; 1,,A 500,,
A 398,167,HT127b,16,𐛫,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"
 VIR+*313c 
 KI+MU 15","11 
",𐄔 𐄌 𐙂 𐄖 𐄈,𐄑 𐄊,50; 6; 70; 2; 20; 4; 14; 10; 5,,A 377; A 398,,
A 377,167,HT127b,19,𐛖,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"11 
","
 KU 291 𐄐 𐄇",𐄑 𐄊,𐄐 𐄋 𐙕 𐄐 𐄇,70; 2; 20; 4; 10; 5; 291; 10; 1,,A 377; A 398,,
A 377,167,HT127b,25,𐛖,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"
 KU 291 𐄐 𐄇",𐄐 𐄊 ta? ro 𐄚,𐄐 𐄋 𐙕 𐄐 𐄇,𐄐 𐄊 𐙂 𐘁 𐄚,10; 5; 291; 10; 1; 10; 4; 200,,A 377; A 398,,
A 400,168,HT128a,23,𐛭,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"MI TA ¹⁄₂ 
 GRA+KU",,𐄈 𐝫 𐝫 𐘻 𐘳,,2; 0.5; 6,A 703,A 400; VASE 7,,
VASE 7,168,HT128a,24,𐝆,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),,DI,,𐝫,0.5; 6; 6,A 703,A 400; VASE 7,,
VASE 7,170,HT129,6,𐝆,Haghia Triada - Casa Room 9,LM IB,tablet (page-shaped),RE TA₂ GRA 33 𐝆𐝁,,𐘙 𐘷 𐙉 𐄒 𐄉,,30; 3; 10; 20,,VASE 2; VASE 7,,
VASE 2,170,HT129,7,𐝁,Haghia Triada - Casa Room 9,LM IB,tablet (page-shaped),,"
 NI 
 TU *21F",,𐙘 𐄐 𐘝 𐄑 𐄈,30; 3; 10; 20; 2,,VASE 2; VASE 7,,
VASE 7,170,HT129,19,𐝆,Haghia Triada - Casa Room 9,LM IB,tablet (page-shaped),"GRA 40 ¹⁄₂ 
 OLE+DI",,𐘐 𐘭 𐘅 𐙉 𐄓,,40; 0.5; 40; 1,A 726,VASE 2; VASE 7,,
VASE 7,172,HT131a,22,𐝆,Haghia Triada - Casa Room 9,LM IB,tablet (page-shaped),³⁄₄ 𐝫 ? 𐄐 𐄈,? 𐄐 𐄈,𐝫 𐝫 𐙖 𐄐 𐄈,𐙘 𐄐 𐄈,0.75; 10; 2; 10; 2,,A 568; VASE 7,,
A 568,172,HT131a,26,𐝕,Haghia Triada - Casa Room 9,LM IB,tablet (page-shaped),? 𐄐 𐄈,,𐙘 𐄐 𐄈,,2; 10; 2,,A 568; VASE 7,,
VASE 7,173,HT131b,19,𐝆,Haghia Triada - Casa Room 9,LM IB,tablet (page-shaped),ro 𐝫 𐄜 𐄔 𐄈,𐝫,𐘁 𐝫 𐄜 𐄔 𐄈,𐝫,400; 50; 2,,VASE 7,,
A 399,175,HT133,4,𐛬,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),A DU 𐄁 TE,55 𐄋,𐘇 𐘬 𐄁 𐘃,𐄔 𐄋,50; 5,,A 399,,
VASE 7,181,HT139,10,𐝆,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"
 OLE ¹⁄₂ 
 RA₂","𐝫 ?,pte? ? 𐝫 𐝫",𐝫 𐙉 𐝫 𐄇 𐙖,𐝫 𐘾 𐘽 𐝫 𐝫,0.5; 1,,VASE 7,,
VASE 7,182,HT140,15,𐝆,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),DI 𐄁 OLE+KI ¹⁄₂,"
 *34 SI 𐄁 
",𐘧 𐘆 𐄁 𐄇,𐄁 𐘉 𐘟 𐘤 𐝫,1; 1,,VASE 7,,
VASE 7,182,HT140,50,𐝆,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"𐄈 ?,pte? pa",𐝫,𐄈 𐘾 𐘂,𐝫,1; 0.5; 2; 6,A 728; A 728,VASE 7,,
VASE 7,182,HT140,54,𐝆,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),𐄌,,𐄌,,6,A 728,VASE 7,,
VASE 6,187,HT147,3,𐝅,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),𐝫 RA ≈,¹⁄₂,𐝫 𐝫 𐘴,𐝫,0.5,,VASE 6; VASE 7,,
VASE 7,187,HT147,5,𐝆,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),¹⁄₂,"
 𐝫 𐝫 𐝫",𐝫,𐝫 𐘝 𐝫 𐝫,0.1667; 0.5,,VASE 6; VASE 7,,
A 355,188,HT154.,0,𐛀,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),,"𐄁 TI 
 
 7",,𐄁 𐘠 𐝫 𐝫 𐄙,100,,A 355,,
VASE 7,191,HT154c,6,𐝆,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"NA 
 2 𐝫 𐄈",𐝫,𐝫 𐘅 𐝫 𐝫 𐄈,𐝫,2; 2,,VASE 7,,
VASE 4,192,HT154e,8,𐝃,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),"
 3 ¹⁄₄ 𐝫 𐄉",,𐄐 𐄊 𐝫 𐝫 𐄉,,10; 4; 0.25; 3,,VASE 4,,
VASE 7,193,HT154g,3,𐝆,Haghia Triada - Casa del Lebete,LM IB,tablet (page-shaped),𐝫 6 ¹⁄₂,𐝫,𐝫 𐝫 𐄌,𐝫,6; 6,,VASE 7,,
A 500,223,HTWa1020,0,𐜝,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,KU PA,,𐙂 𐘂,0.25,,A 500; VASE 4,,
VASE 4,223,HTWa1020,3,𐝃,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,KU PA,JE TA NA,𐙂 𐘂,𐘧 𐘳 𐘅,,,A 500; VASE 4,,
A 568,224,HTWa1021,3,𐝕,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,*188 DU 𐄁,,𐙓 𐘬 𐄁,,,,A 364; A 375; A 568,,
A 364,224,HTWa1021,4,𐛉,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,0.75,,A 364; A 375; A 568,,
A 375,224,HTWa1021,5,𐛔,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,0.75,,A 364; A 375; A 568,,
A 500,225,HTWa1021bis,0,𐜝,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,3,,𐄉,3,,A 500,,
A 356,226,HTWa1022,0,𐛁,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,,,A 356,,
VASE 4,227,HTWa1023,0,𐝃,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,,,VASE 4,,
VASE 4,228,HTWa1024,0,𐝃,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,,,VASE 4,,
VASE 7,229,HTWa1025,0,𐝆,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,*301,,𐙕,,,VASE 7,,
VASE 4,230,HTWa1026,0,𐝃,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,*301,,𐙕,,,VASE 4,,
A 316,1049,HTWa1849,0,𐚙,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,,,A 316,,
A 317,1050,HTWa1850,0,𐚚,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,,,A 317,,
A 318,1051,HTWa1851,0,𐚛,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,,,A 318,,
A 319,1052,HTWa1852,0,𐚜,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,,,A 319,,
A 320,1053,HTWa1853,0,𐚝,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,,,A 320,,
A 321,1054,HTWa1854,0,𐚞,Haghia Triada - Portico 11 and Room 13,LM IB,Nodule,,,,,,,A 321,,
VASE 7,1065,HTWc3001,3,𐝆,Haghia Triada,LM IB,roundel,PA SE JA,,𐘂 𐘈 𐘱,,,,VASE 7,,
A 500,1080,HTWc3016,3,𐜝,Haghia Triada,LM IB,roundel,KA KU PA,,𐘾 𐙂 𐘂,,,,A 500,,
A 500,1081,HTWc3017,8,𐜝,Haghia Triada,LM IB,roundel,𐄁 DI *306 𐄁,,𐄁 𐘆 𐙚 𐄁,,,,A 500,,
VASE 4,1083,HTWc3019,1,𐝃,Haghia Triada,LM IB,roundel,WA,,𐘮,,,,VASE 4,,
A 500,1090,HTWeWc3020,2,𐜝,Haghia Triada,LM IB,roundel,*188 DU,,𐙓 𐘬,,,,A 500,,
VASE 7,1099,HTZd157+156,10,𐝆,Haghia Triada,LM IB,Graffito,TI *904 1 *904 1,*904 2,𐘠 𐙫 𐄇 𐙫 𐄇,𐙫 𐄈,1; 1; 2; 0.25; 3,,VASE 4; VASE 5; VASE 7; VASE 8,,
VASE 4,1099,HTZd157+156,13,𐝃,Haghia Triada,LM IB,Graffito,*904 2,*904 3,𐙫 𐄈,𐙫 𐄉,1; 0.5; 2; 3; 0.375,,VASE 4; VASE 5; VASE 7; VASE 8,,
VASE 4,1099,HTZd157+156,16,𐝃,Haghia Triada,LM IB,Graffito,*904 3,,𐙫 𐄉,,2; 0.25; 3; 0.0625,,VASE 4; VASE 5; VASE 7; VASE 8,,
VASE 5,1099,HTZd157+156,17,𐝄,Haghia Triada,LM IB,Graffito,,JA ¹⁄₁₆,,𐘳 𐘱,2; 0.25; 3; 0.375; 0.0625,,VASE 4; VASE 5; VASE 7; VASE 8,,
VASE 8,1099,HTZd157+156,20,𐝇,Haghia Triada,LM IB,Graffito,JA ¹⁄₁₆,𐝫,𐘳 𐘱,𐝫,3; 0.375; 0.0625,,VASE 4; VASE 5; VASE 7; VASE 8,,
VASE 5,1107,HTZg163,0,𐝄,Haghia Triada,LM IB,Stone object,,,,,,,VASE 5,,
VASE 3,1128,KEWc2,0,𐝂,Kea,MM III,roundel,,,,,,,VASE 2; VASE 3,,
VASE 2,1128,KEWc2,1,𐝁,Kea,MM III,roundel,,,,,0.2,,VASE 2; VASE 3,,
VASE 2,1128,KEWc2,2,𐝁,Kea,MM III,roundel,,,,,0.2,,VASE 2; VASE 3,,
VASE 7,1134,KH1,7,𐝆,Khania,Uncertain,tablet (page-shaped),"
 3 
",𐝫 𐝫 𐝫,𐄖 𐝫 𐄉,𐘝 𐝫 𐝫,70; 70; 3; 3,A 706,VASE 7,,
VASE 4,1135,KH2,7,𐝃,Khania,Uncertain,tablet (page-shaped),"
 
 CYP 
 *306",𐝫 𐝫 𐝫,𐄑 𐘹 𐝫 𐙗 𐝫,𐙚 𐝫 𐝫,20,,VASE 4,,
VASE 2,1137,KH4,8,𐝁,Khania,Uncertain,tablet (page-shaped),"
 4 
 CYP 
","
 𐝫 𐝫",𐝫 𐝫 𐙚 𐄊 𐙗,𐝫 𐝫 𐝫,4; 4,,VASE 2,,
VASE 1,1138,KH5,33,𐝀,Khania,LM IB,tablet (page-shaped),ZU CYP 3 ≈ ¹⁄₆,2 𐝆𐝁,𐙀 𐙗 𐝫 𐄉 𐝫,𐘝 𐄈,3; 3; 0.1667; 2; 2,,VASE 1; VASE 2; VASE 7,,
VASE 7,1138,KH5,36,𐝆,Khania,LM IB,tablet (page-shaped),2 𐝆𐝁,,𐘝 𐄈,,3; 0.1667; 2; 2,,VASE 1; VASE 2; VASE 7,,
VASE 2,1138,KH5,37,𐝁,Khania,LM IB,tablet (page-shaped),,,,,0.1667; 2; 2,,VASE 1; VASE 2; VASE 7,,
VASE 7,1139,KH6,2,𐝆,Khania,LM IB,tablet (page-shaped),CYP+D,"SI 
 TE RE 
",𐝫,𐘆 𐘤 𐝫 𐝫 𐘃,0.5,,VASE 2; VASE 7,,
VASE 7,1139,KH6,16,𐝆,Khania,LM IB,tablet (page-shaped),"¹⁄₂ 
 *347 
","RI TA CYP+D 
 *21M",𐝫 𐘸 𐘞 𐘗,𐚇 𐝫 𐝫 𐙗 𐝫,0.5,,VASE 2; VASE 7,,
VASE 7,1139,KH6,22,𐝆,Khania,LM IB,tablet (page-shaped),"RI TA CYP+D 
 *21M","CYP+D ¹⁄₂ 
 1",𐚇 𐝫 𐝫 𐙗 𐝫,𐘭 𐘳 𐘧 𐝫,0.5; 1,,VASE 2; VASE 7,,
VASE 7,1139,KH6,32,𐝆,Khania,LM IB,tablet (page-shaped),"1 PA 
 RE",CYP+D ¹⁄₂ PI SA CYP+D,𐝫 𐝫 𐘑 𐄇,𐘕 𐄇 𐘂 𐝫 𐝫,1; 1; 1,,VASE 2; VASE 7,,
VASE 7,1139,KH6,43,𐝆,Khania,LM IB,tablet (page-shaped),"¹⁄₂ 
 AU RE","
 8 
 2",𐘙 𐄁 𐙺 𐄇,𐘢 𐘞 𐝫 𐝫,0.5; 1; 8; 2,,VASE 2; VASE 7,,
VASE 7,1139,KH6,49,𐝆,Khania,LM IB,tablet (page-shaped),"
 8 
 2",ro2? ne te 𐄁 ?,𐘢 𐘞 𐝫 𐝫,𐙄 𐘙 𐘃 𐄁 𐙚,8; 2,,VASE 2; VASE 7,,
VASE 7,1139,KH6,60,𐝆,Khania,LM IB,tablet (page-shaped),𐄇 𐝫 𐄎 ? 𐄈,,𐄇 𐝫 𐄎 𐙗 𐄈,,1; 8; 2,,VASE 2; VASE 7,,
VASE 2,1139,KH6,61,𐝁,Khania,LM IB,tablet (page-shaped),,,,,8; 2,,VASE 2; VASE 7,,
VASE 8,1140,KH7a,14,𐝇,Khania,Uncertain,tablet (page-shaped),CYP+E ¹⁄₁₆ E NA,"10 
 CYP+D ¹⁄₂",𐄇 𐝫 𐝫 𐘚,𐘡 𐘅 𐘤 𐄁,1; 0.0625; 10; 0.5,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
A 397,1140,KH7a,19,𐛪,Khania,Uncertain,tablet (page-shaped),"10 
 CYP+D ¹⁄₂",I,𐘡 𐘅 𐘤 𐄁,𐄐,10; 0.5; 10,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
VASE 7,1140,KH7a,22,𐝆,Khania,Uncertain,tablet (page-shaped),I,"TA TA 𐄁 
 QA",𐄐,𐘚 𐘱 𐘂 𐘋 𐄁,0.5; 10,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
A 397,1140,KH7a,34,𐛪,Khania,Uncertain,tablet (page-shaped),"KI VIR+*313b 
 CYP+D ¹⁄₃",SE,𐘳 𐄁 𐘌 𐘠 𐘸,𐄊,0.3333; 4,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
VASE 2,1140,KH7a,37,𐝁,Khania,Uncertain,tablet (page-shaped),SE,"𐄁 KO E 18 
",𐄊,𐘈 𐙙 𐄁 𐙂 𐝫,0.3333; 4; 18,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
A 397,1140,KH7a,47,𐛪,Khania,Uncertain,tablet (page-shaped),"
 CYP+D 1 𐝕𐝉𐝫 
","
 𐝫 𐄎 𐄇",𐝫 𐄁 𐝫 𐘺 𐘡,𐝫 𐄐 𐄎 𐄇,1; 10; 8; 1,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
A 568,1140,KH7a,53,𐝕,Khania,Uncertain,tablet (page-shaped),"
 𐝫 𐄎 𐄇",,𐝫 𐄐 𐄎 𐄇,,10; 8; 1,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
VASE 10,1140,KH7a,54,𐝉,Khania,Uncertain,tablet (page-shaped),,𐝫 𐝫,,𐝫 𐝫,10; 8; 1,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
VASE 2,1140,KH7a,57,𐝁,Khania,Uncertain,tablet (page-shaped),𐝫 𐝫,,𐝫 𐝫,,1,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
VASE 13,1140,KH7a,58,𐝌,Khania,Uncertain,tablet (page-shaped),,𐝫,,𐝫,,,A 397; A 568; VASE 10; VASE 13; VASE 2; VASE 7; VASE 8,,
VASE 7,1141,KH7b,7,𐝆,Khania,Uncertain,tablet (page-shaped),U TA I SE,"
 NA TU CYP+D ¹⁄₂",𐘉 𐘳 𐘚 𐘈,𐝫 𐝫 𐘂 𐘅 𐘹,0.5,,A 500; VASE 7,,
VASE 7,1141,KH7b,14,𐝆,Khania,Uncertain,tablet (page-shaped),NA TU CYP+D ¹⁄₂,,𐝫 𐘂 𐘅 𐘹,,0.5; 1; 10; 4,,A 500; VASE 7,,
A 500,1141,KH7b,15,𐜝,Khania,Uncertain,tablet (page-shaped),,"SI 
 CYP+K 2",,𐄇 𐘤 𐄐 𐄊,0.5; 1; 10; 4,,A 500; VASE 7,,
VASE 7,1142,KH8,8,𐝆,Khania,LM IB,tablet (page-shaped),"TA 
 CYP+D ¹⁄₂",GRA,𐝫 𐝫 𐘳 𐄈,𐘝,2; 0.5; 0.25,,A 350; VASE 4; VASE 7,,
VASE 7,1142,KH8,10,𐝆,Khania,LM IB,tablet (page-shaped),GRA,*304 ¹⁄₄,𐘝,𐝫 𐙉,2; 0.5; 0.25; 0.25,,A 350; VASE 4; VASE 7,,
VASE 7,1142,KH8,13,𐝆,Khania,LM IB,tablet (page-shaped),*304 ¹⁄₄,¹⁄₄,𐝫 𐙉,𐙘,0.5; 0.5; 0.25; 0.25,,A 350; VASE 4; VASE 7,,
VASE 4,1142,KH8,15,𐝃,Khania,LM IB,tablet (page-shaped),¹⁄₄,"
",𐙘,𐙗,0.5; 0.25; 0.25,,A 350; VASE 4; VASE 7,,
VASE 4,1142,KH8,17,𐝃,Khania,LM IB,tablet (page-shaped),"
","
 *312 
 QA2+[?]+PU",𐙗,𐙇 𐝫 𐝫 𐘝,0.25; 0.25; 1,,A 350; VASE 4; VASE 7,,
VASE 4,1142,KH8,22,𐝃,Khania,LM IB,tablet (page-shaped),"
 *312 
 QA2+[?]+PU",? 𐄇,𐙇 𐝫 𐝫 𐘝,𐙢 𐄇,1; 1,,A 350; VASE 4; VASE 7,,
A 350,1142,KH8,25,𐚻,Khania,LM IB,tablet (page-shaped),? 𐄇,𐄇,𐙢 𐄇,𐄇,1; 1; 1,,A 350; VASE 4; VASE 7,,
A 395,1143,KH9,6,𐛨,Khania,LM IB,tablet (page-shaped),SI SU PO A 𐄁,"
 
",𐘤 𐘲 𐘊 𐘇 𐄁,𐝫 𐝫,,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
VASE 8,1143,KH9,9,𐝇,Khania,LM IB,tablet (page-shaped),"
 
","
",𐝫 𐝫,𐘝,,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
VASE 4,1143,KH9,11,𐝃,Khania,LM IB,tablet (page-shaped),"
",,𐘝,,0.5,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
VASE 2,1143,KH9,12,𐝁,Khania,LM IB,tablet (page-shaped),,"SI 𐄁 ¹⁄₂ 
 2",,𐘻 𐝫 𐝫 𐘚 𐘤,0.5; 2,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
VASE 7,1143,KH9,20,𐝆,Khania,LM IB,tablet (page-shaped),"¹⁄₂ 
 2 
","
 
 CYP 
",𐝫 𐘚 𐘤 𐄁,𐝫 𐝫 𐄈 𐙗,0.5; 2; 2,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
VASE 4,1143,KH9,25,𐝃,Khania,LM IB,tablet (page-shaped),"
 
 CYP 
",SI+TA2 *304 𐝫 ?,𐝫 𐝫 𐄈 𐙗,𐙍 𐝫 𐝫 𐙗,0.25; 2,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
VASE 4,1143,KH9,30,𐝃,Khania,LM IB,tablet (page-shaped),SI+TA2 *304 𐝫 ?,,𐙍 𐝫 𐝫 𐙗,,,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
VASE 10,1143,KH9,31,𐝉,Khania,LM IB,tablet (page-shaped),,𐝫 𐝫,,𐝫 𐝫,,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
A 561,1143,KH9,34,𐝎,Khania,LM IB,tablet (page-shaped),𐝫 𐝫,,𐝫 𐝫,,1,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
A 367,1143,KH9,35,𐛌,Khania,LM IB,tablet (page-shaped),,? 𐄇 𐝫,,𐙘 𐄇 𐝫,1,,A 367; A 395; A 561; VASE 10; VASE 2; VASE 4; VASE 7; VASE 8,,
VASE 7,1144,KH10,4,𐝆,Khania,LM IB,tablet (page-shaped),"𐝫 2 
 ¹⁄₂","10 
 PA SA JA",𐝫 𐝫 𐄈 𐝫,𐙉 𐄐 𐘚 𐘂 𐘞,2; 2; 0.5; 10; 10,,VASE 7,,
VASE 8,1145,KH11,7,𐝇,Khania,LM IB,tablet (page-shaped),"𐄁 ZA CYP ¹⁄₁₆ 
","
 CYP+E",𐝫 𐄁 𐝫 𐘍 𐙗,𐘲 𐄉,0.0625; 3,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
VASE 8,1145,KH11,11,𐝇,Khania,LM IB,tablet (page-shaped),"
 CYP+E",,𐘲 𐄉,,3; 4,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
VASE 10,1145,KH11,12,𐝉,Khania,LM IB,tablet (page-shaped),,"
",,𐙍,3; 4,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
VASE 1,1145,KH11,14,𐝀,Khania,LM IB,tablet (page-shaped),"
","
 CYP 
",𐙍,𐙚 𐄊 𐙗,3; 4,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
VASE 2,1145,KH11,18,𐝁,Khania,LM IB,tablet (page-shaped),"
 CYP 
","𐝇𐝉 
",𐙚 𐄊 𐙗,𐚈 𐙗,4,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
VASE 8,1145,KH11,21,𐝇,Khania,LM IB,tablet (page-shaped),"𐝇𐝉 
",,𐚈 𐙗,,4; 3,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
VASE 10,1145,KH11,22,𐝉,Khania,LM IB,tablet (page-shaped),,"TO I CYP+E 3 
",,𐘇 𐘄 𐚉 𐘄 𐘚,3,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
A 301,1145,KH11,36,𐚊,Khania,LM IB,tablet (page-shaped),3 A TA *301 1,*306 1 SI CYP jo,𐄇 𐙍 𐄉 𐘇 𐘳,𐙕 𐄇 𐙚 𐄇 𐘤,1; 3; 1; 1; 1,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
VASE 8,1145,KH11,43,𐝇,Khania,LM IB,tablet (page-shaped),1 SI CYP jo ?,,𐄇 𐙚 𐄇 𐘤 𐙗,,1; 1,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
VASE 10,1145,KH11,44,𐝉,Khania,LM IB,tablet (page-shaped),,,,,1,,A 301; VASE 1; VASE 10; VASE 2; VASE 8,,
VASE 7,1146,KH12,5,𐝆,Khania,LM IB,tablet (page-shaped),"CYP 2 
 *308 
",,𐝫 𐙗 𐝫 𐄈 𐙜,,2; 2; 0.3333; 0.3333,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
A 381,1146,KH12,6,𐛚,Khania,LM IB,tablet (page-shaped),,,,,2; 2; 0.3333; 0.3333,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
VASE 7,1146,KH12,7,𐝆,Khania,LM IB,tablet (page-shaped),,*335,,𐝫,2; 0.3333; 0.0625,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
VASE 2,1146,KH12,9,𐝁,Khania,LM IB,tablet (page-shaped),*335,"*516 
 ¹⁄₁₆",𐝫,𐙻 𐝫 𐝫,0.3333; 0.0625; 0.2,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
VASE 2,1146,KH12,13,𐝁,Khania,LM IB,tablet (page-shaped),"*516 
 ¹⁄₁₆",,𐙻 𐝫 𐝫,,0.3333; 0.0625; 0.2,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
A 355,1146,KH12,14,𐛀,Khania,LM IB,tablet (page-shaped),,*401+RU,,𐝫,0.3333; 0.0625,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
VASE 8,1146,KH12,16,𐝇,Khania,LM IB,tablet (page-shaped),*401+RU,,𐝫,,0.0625; 0.2,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
VASE 3,1146,KH12,18,𐝂,Khania,LM IB,tablet (page-shaped),,,,,0.2,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
A 560,1146,KH12,20,𐝍,Khania,LM IB,tablet (page-shaped),,𐝫 𐝫,,𐝫 𐝫,,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
A 560,1146,KH12,24,𐝍,Khania,LM IB,tablet (page-shaped),𐝫 𐝫,𐝫 𐝫,𐝫 𐝫,𐝫 𐝫,,,A 355; A 381; A 560; VASE 2; VASE 3; VASE 7; VASE 8,,
VASE 7,1147,KH13,3,𐝆,Khania,LM IB,tablet (page-shaped),𐝫 2 ¹⁄₂,"A RE ZA 
 𐝫𐝃𐝉",𐝫 𐝫 𐄈,𐝫 𐝫 𐘇 𐘈 𐘙,2; 2,,VASE 10; VASE 2; VASE 4; VASE 7,,
VASE 4,1147,KH13,12,𐝃,Khania,LM IB,tablet (page-shaped),"
 𐝫𐝃𐝉 
 *304 ¹⁄₃",,𐘈 𐘙 𐘍 𐝫 𐝫,,0.3333; 3,,VASE 10; VASE 2; VASE 4; VASE 7,,
VASE 10,1147,KH13,13,𐝉,Khania,LM IB,tablet (page-shaped),,"DA I 
",,𐙘 𐝫 𐙗,0.3333; 3,,VASE 10; VASE 2; VASE 4; VASE 7,,
VASE 2,1147,KH13,17,𐝁,Khania,LM IB,tablet (page-shaped),"DA I 
","
 𐝫 𐝫 da ru",𐙘 𐝫 𐙗,𐝫 𐝫 𐝫 𐘀 𐘚,,,VASE 10; VASE 2; VASE 4; VASE 7,,
VASE 4,1148,KH14,12,𐝃,Khania,LM IB,tablet (page-shaped),"6 
 CYP 
 *336",CYP ¹⁄₁₆ NI,𐙗 𐄌 𐝫 𐝫 𐙗,𐙼 𐄈 𐙗,6; 6; 2; 0.25,,A 395; VASE 4; VASE 8,,
VASE 8,1148,KH14,16,𐝇,Khania,LM IB,tablet (page-shaped),CYP ¹⁄₁₆ NI,"
 2 
",𐙼 𐄈 𐙗,𐝫 𐝫 𐘝,2; 2; 2,,A 395; VASE 4; VASE 8,,
