linear_a_sequence_ab,minoan_reconstructed_form,greek_descendant,greek_transliteration,english_gloss,category,confidence,semantic_score,num_attestations,consistency,matched_sequences,findspots,commodity_context,text_type,context_plausible
ARG,arg,Ἄργος,Argos,Argos,place_name,58.0,0.1,21,consistent,ARUKURO; ARUKU; RARUKU; ADUKU; MARUKU; ARUDI; MURUKU; ARU; SARUKU; RUKU; AJAKU; AKUKU; AKU; KARUKU; ARUDA,Phaistos; Haghia Triada - Villa Magazine; Khania; Haghia Triada - Casa Room 7; Papourou; Haghia Triada - Casa Room 9; Zakros; Knossos; Tylissos,³⁄₄; 𐝕; ¹⁄₂; 𐝆; ¹⁄₂; ¹⁄₄; 𐝃; [?],administrative,yes
LUKT,lukt,Λύκτος,Lyktos,Lyctus,place_name,58.0,0.1,15,consistent,RUKUTU; NIKUTU; RUKURO; RUKUNI; KUTU; RUKU; RUKUA; RUKUPA₃; SEKUTU; RARUKUTU,Haghia Triada - Villa Magazine; Khania; Haghia Triada - Casa Room 7; Haghia Triada - Casa Room 9; Zakros; Tylissos,NU; 𐚞,administrative,yes
